attractionName,reviewerName,reviewTitle,ratings,reviewDate,reviewText,reviewerProfilePicURL,reviewURL
Cloud Forest,arnoldahmed,worth it,40,22-Mar-21,"its worth to see, cooling inside despite the hot weather. worth to see once with family.kids would like it too but not that much",https://media-cdn.tripadvisor.com/media/photo-l/03/e5/5c/3c/bladezz.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400781-r784998549-Cloud_Forest-Singapore.html
Cloud Forest,KYHENG,30 meters tall man made waterfall,40,14-Mar-21,"This to me is the highlight of the exhibits here and could have been arranged such that it is the last to see. Still it is great to have it at the entrance.Within the dome, the exhibits are arranged by floors, starting at level 7. You got to take the lift up to 6 and climb the rest of the way via staircase.Best part to me is the suspended walkway where you could look over and best floor is the cavern which is at one of the lower floors.This whole experience could have been improved if the waterfall is seen at the end of the trip, with the sound for the waterfall acting as a very powerful tease the entire time you are inside.Bestest experience here is the air conditioned which is a welcoming oasis after wandering around the outdoor displays at Gardens by the Bay.",https://media-cdn.tripadvisor.com/media/photo-l/1c/c4/8b/75/kyheng.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400781-r784518454-Cloud_Forest-Singapore.html
Cloud Forest,sarahjaynee2013,Indoor waterfall,50,7-Mar-21,A unique experience and worth a visit if you like your greenery. Nice to be able to walk around the waterfall.,https://media-cdn.tripadvisor.com/media/photo-l/03/4a/d6/4c/facebook-avatar.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400781-r784113644-Cloud_Forest-Singapore.html
Cloud Forest,Crios59,Fantastic and impressive place,50,4-Mar-21,"A gigantic waterfall, thousands of different plants from all over the world, great views of the surroundings makes this a nice place to visit in Singapore.",https://media-cdn.tripadvisor.com/media/photo-l/19/0e/ae/91/crios59.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400781-r783934246-Cloud_Forest-Singapore.html
Cloud Forest,Rhiannon H,Cool!,50,27-Feb-21,"Cool experience! The waterfall was impressive, as are the plants etc and it's a fun experience going to the top and back down again!",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/ec/a2/default-avatar-2020-3.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400781-r783641955-Cloud_Forest-Singapore.html
Cloud Forest,Travelove58,An amazing experience worth paying for......,50,21-Feb-21,"This place is much cooler than Flower Dome. A towering waterfall with soothing gushing sound, mists spewing out amidst a forested landscape , this is certainly an experience worth coming & paying for.Walk up the elevated path above & have a casual walk & bird's eye view within the Dome & outside.Again sadly, this usually packed attraction place were empty with few locals..Although both domes are air-conditioned, Cloud Forest is much cooler than Flower Dome.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e4/2d/default-avatar-2020-48.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400781-r783281067-Cloud_Forest-Singapore.html
Cloud Forest,Chelsea B,Busy but amazing,50,3-Feb-21,"known for it's impressive 115ft waterfall. As soon as you walk in the sight greets you, as well as the hundreds of tourists gathering at the bottom for a photograph. Having had a relatively quiet morning we found the next leg of our day extremely busy. I made the mistake of wearing a maxi dress to the gardens and had people constantly standing on my dress.In the cloud forest you follow a walkway that snakes around a plant clad mountain. This does streamline the crowds but there were no points where it was too overwhelming. Despite the hot and humid weather outside the conservatory was very cool to walk around and a welcome respite. ",https://media-cdn.tripadvisor.com/media/photo-l/1c/4d/f5/28/chelsea-b.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400781-r782190898-Cloud_Forest-Singapore.html
Cloud Forest,Grover R,The Most Amazing Garden Exhibit in the World,50,1-Feb-21,"It is amazingly difficult to put in to words this attraction. It is a MUST SEE if you go to Singapore and for me it was the best and most amazing part of Gardens by the Bay. I have been to all kinds of gardens, including enclosed ones. Most of the time it is to keep the plants warm enough, here it is to keep them cool enough. There is simply nothing like it in the world.You walk in and are greeted by an incredible green waterfall and then you walk around this verdant mountain of various plants. Every turn is unbelievable. There are full grown trees and incredible views through the glass enclosure and this is before the main attraction when you ride the elevator 7 stories to the top of the mountain to begin a leisurely walk down. Again the views and the plants are amazing. The pictures will show you but they dont do it justice. You just have to go.",https://media-cdn.tripadvisor.com/media/photo-l/18/c0/f9/55/grover-r.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400781-r782106419-Cloud_Forest-Singapore.html
Cloud Forest,faisalk913,The Epic Entrance,50,5-Jan-21,This is the best paet as you enter the mountain high water fall is epic well done Team so such an good and breath taking experience and it was nice and foggy with excitement and we made our way up via lift and walked down from level 7 was an amazing experience.,https://media-cdn.tripadvisor.com/media/photo-l/07/12/7c/31/faisal-k.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400781-r780569225-Cloud_Forest-Singapore.html
Cloud Forest,Joyce T,Beautiful waterfall,50,17-Dec-20,"Go in the morning to catch the beautiful sunrays. It's cool for the growth of these plants that grow in the mountains, bring a jacket if you are afraid of the cold.",https://media-cdn.tripadvisor.com/media/photo-l/05/2b/f5/0a/joyance.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400781-r779435909-Cloud_Forest-Singapore.html
Cloud Forest,beautifulvoyag,Amazing indoor cloud forest,50,28-Nov-20,"Very cool indoor structure explaining what a cloud forest is about and what it may seem like. At every other corner in the whole indoor structure, I found amazing views of different parts of the Singapore. It's rather cold but if you are coming in from the very hot weather outside, the temperature is just perfect.",https://media-cdn.tripadvisor.com/media/photo-l/17/9b/86/20/caption.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400781-r778025315-Cloud_Forest-Singapore.html
