attractionName,reviewerName,reviewTitle,ratings,reviewDate,reviewText,reviewerProfilePicURL,reviewURL
Flower Dome,Chelsea B,Amazing displays,50,3-Feb-21,"There were a huge amount of beautiful displays to look at, there was colour wherever you looked. Loved it!",https://media-cdn.tripadvisor.com/media/photo-l/1c/4d/f5/28/chelsea-b.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400784-r782190960-Flower_Dome-Singapore.html
Flower Dome,NigelG407,Ready for Chinese New Year,50,25-Jan-21,The Flower Dome is all laid out for Lunar New Year and a wonderful display of dahlias surrounds the installations.Of course all the diversity and the sculptures and artworks are there and can't be missed by the new visitor. The Chapungu are a series of stone carvings from Zimbabwe which add a dimension of art to Botany. Statues are primarily of birds and people.The sculptures associated with Alice in Wonderland and Pooh Bear are not to be missed also.I have given a selection of images mostly from the New Year installation but be sure to check it all out. I love Gardens by the Bay so much I bought a Friends membership which allows unlimited access all year around.Enjoy!!!,https://media-cdn.tripadvisor.com/media/photo-l/1b/47/4d/9e/caption.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400784-r781718588-Flower_Dome-Singapore.html
Flower Dome,Joyce T,"Beautiful Flowers, must see in Singapore",50,17-Dec-20,"Great place to enjoy the numerous types of flowers. The theme changes every other month, thus, you can visit this place again and again.",https://media-cdn.tripadvisor.com/media/photo-l/05/2b/f5/0a/joyance.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400784-r779436475-Flower_Dome-Singapore.html
Flower Dome,beautifulvoyag,Beautiful indoor garden - must visit in Singapore.,50,28-Nov-20,Beautiful indoor garden featuring plants from different parts of the world. Must visit in Singapore.,https://media-cdn.tripadvisor.com/media/photo-l/17/9b/86/20/caption.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400784-r778051803-Flower_Dome-Singapore.html
Flower Dome,Grover R,Another Incredible MUST SEE,50,12-Oct-20,"The second best feature at Gardens by the Bay, only eclipsed by the Cloud Forest. Like the Cloud forest half of the amazement is the structure and the other half is the content. Where the Cloud Forest structure is more vertical, this one has a shorter angle and a more lateral glass roof for sun to drench an amazing display of plants and flowers. This structure has interesting diversity with so of the driest plant species including trees and some of the most amazing flowers. The flowers is what you come to see here and it does not disappoint, but do not miss the display to the right with trees and cactus, also a great view over the flowers.Again you will send much of your time hear marveling at the plants and the incredible structure that houses them. Don't miss the animal displays made from flowers and plants. Each of them is just as amazing and seasonal.",https://media-cdn.tripadvisor.com/media/photo-l/18/c0/f9/55/grover-r.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400784-r773942070-Flower_Dome-Singapore.html
Flower Dome,LarEme65,Perfect indoor space for family outing,50,13-Sep-20,"Due to the recent torrential rain, we have to change our plans to visit the flower dome. Family and pram friendly place. Be sure to bring a long jacket to keep your little ones warm. The place os well lighted with plenty of spots to take wonderful photos with family. Remember to check and book available slots online before heading over. Due to covid 19, ticketing booths were closed so we have to go over to friends of gardens by the bay to purchase our tickets.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e2/e6/default-avatar-2020-45.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400784-r770081968-Flower_Dome-Singapore.html
Flower Dome,rma088,Photographers Dream,50,12-Sep-20,Brilliant string for photography Lighting on the day of my visit was excellentExhibits provide studio - like sets and great colors. There are interring arrangement set on archways that require shooting into strong lightWith tourism non-existent they gardens are not crowded and ticket prices have been reduced,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/ed/7b/default-avatar-2020-6.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400784-r769905777-Flower_Dome-Singapore.html
Flower Dome,imthecraziestdude,wonderful flowers! cheering ambience! I like that place. whenever my friends are visiting that I will bring them over,50,9-Sep-20,I like that place. whenever my friends are visiting that I will bring them over there!I like the Christmas decorations every year!,https://media-cdn.tripadvisor.com/media/photo-l/1b/f2/66/fc/imthecraziestdude.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400784-r769464137-Flower_Dome-Singapore.html
Flower Dome,ChillaxKoh,Serenity with the right temperature!,50,3-Aug-20,Always good to bask in the different themes put up. Quiet and serene with awesome crowd control. Will always come back to this spot monthly!,https://media-cdn.tripadvisor.com/media/photo-l/05/d2/4a/67/audree-koh.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400784-r762796343-Flower_Dome-Singapore.html
Flower Dome,wesleywaisiu,Sakura exhibition,50,27-Jun-20,"This is not the first time to be here in the flower dome. But the first time to see the Sakura exhibition. The experience was nice, and there are more activities than just the Sakura. This seasonal exhibition is a nice activity to do in Singapore.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/ea/b2/default-avatar-2020-69.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400784-r758271795-Flower_Dome-Singapore.html
Flower Dome,211elisp,Enjoyed my time there,50,18-Jun-20,"Much to see and from all over the world I think. Well marked, easy to navigate trough and fun, even with children because of figures and decoration all over the place",https://media-cdn.tripadvisor.com/media/photo-l/06/9f/aa/d6/elis-p.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400784-r757608939-Flower_Dome-Singapore.html
Flower Dome,rohansirsi,Tulip Garden,50,13-Jun-20,The day we went there was an exhibition of Tulip flowers. A variety of tulip flowers were there and nicely maintained by the management. The room temperature was cool enough to keep the temperature comfortable for visitors.,https://media-cdn.tripadvisor.com/media/photo-l/1b/5a/dc/05/rohansirsi.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400784-r757308711-Flower_Dome-Singapore.html
Flower Dome,SRKK2013,Architecture,50,28-May-20,We didn't have the opportunity to go inside it. But the exterior design is very good. We thoroughly enjoyed when we went past it.,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/ea/2e/default-avatar-2020-67.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400784-r755551080-Flower_Dome-Singapore.html
Flower Dome,shresthanjann,Great gardens,50,13-Apr-20,"Located in the gardens by the bay, entry ticket is mandatory. The African garden, California garden n Australia garden is amazing.",https://media-cdn.tripadvisor.com/media/photo-l/17/3d/33/09/shresthanjann.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400784-r752539636-Flower_Dome-Singapore.html
Flower Dome,parkhelen1960,Gardens under cover.,50,2-Apr-20,If you like flowers it's well worth a visit. Air conditioned so comfortable for walking. The displays were amazing and a good gift shop.,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e4/2d/default-avatar-2020-48.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400784-r752141626-Flower_Dome-Singapore.html
Flower Dome,LeowY31,Variety of flowers that change with every exhibition,50,26-Mar-20,"I went during the sakura exhibition. Really beautiful flowers in great condition. Together with some japanese architectural installations, it really feels like you're in japan. Pay an additional $20 inside to rent a japanese costume for phototaking! Tickets can be bought onsite",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f4/20/default-avatar-2020-31.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400784-r751826954-Flower_Dome-Singapore.html
