attractionName,reviewerName,reviewTitle,ratings,reviewDate,reviewText,reviewerProfilePicURL,reviewURL
Gardens by the Bay,907pamc,Visited Hello Kitty Sakura,50,28-Mar-21,"Awesome displays in both flower dome and coud forest.Safe distancing ambassors are attentive at all times, kudos to the management for keeping the place safe for all of us.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f1/42/default-avatar-2020-20.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r785400880-Gardens_by_the_Bay-Singapore.html
Gardens by the Bay,Serene S,Exploring & Enjoying a Nature Wonderland in Comfort,50,24-Mar-21,"GBTB is the closest you'll get to immersing yourself and being one with nature, while being in your OOTD, with absolute style and comfort.",https://media-cdn.tripadvisor.com/media/photo-l/1c/c7/13/21/serene-s.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r785149355-Gardens_by_the_Bay-Singapore.html
Gardens by the Bay,S_priyadharshini,Swaminathan priyadharshini,50,18-Mar-21,"Very nice place to relax and enjoy. Beautiful light deco at night. Got light show at night. No enrty ticket needed to go for garden and park. To go cloud forest and flower dome, sky walk need to buy entry tickets.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e3/6a/default-avatar-2020-47.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r784756613-Gardens_by_the_Bay-Singapore.html
Gardens by the Bay,travelcheat88,Great sight and workout,50,14-Mar-21,Great to walk around at night. Wait for the time where the music is being played so that you can enjoy the lights n sound at its full glory. Calming experience and a good workout as well.,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f0/9f/default-avatar-2020-16.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r784516608-Gardens_by_the_Bay-Singapore.html
Gardens by the Bay,alisE532QE,So pretty and nice!!,50,14-Mar-21,Need to book attractions from website. Can't get tickets from the booth anymore now due to covid-19. Food courts available in there as well as satay by the bay. Both domes are a must to see,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/ec/a2/default-avatar-2020-3.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r784495763-Gardens_by_the_Bay-Singapore.html
Gardens by the Bay,EveT205,"Charming, serene and beautiful nature",50,7-Mar-21,"If you like fauna snd floral, you have to come here. I usually spend up to 3 hours - 1 hour at Flower Dome (seasonal deco), 1 hour at Cloud Forrest and 1 hour roaming the outdoor. There is an ocbc skypark and Floral Fantasy, see these 2 once is enough. These 4 attractions are paid entry. The park is very well maintained, i never tired of roaming the open park. Located near Bayfront MRT, walking distance to Satay Club and Marina Barriage. Sometimes I walk to these places too. Have fun!",https://media-cdn.tripadvisor.com/media/photo-l/15/95/20/59/evet205.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r784094033-Gardens_by_the_Bay-Singapore.html
Gardens by the Bay,K T,The domes are a must see!!,50,1-Mar-21,Went there in Dec as some of my friends wanted to visit. Belive me....the domes did not disappoint! Just go if you have the time..,https://media-cdn.tripadvisor.com/media/photo-l/19/36/73/0d/k-t.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r783762470-Gardens_by_the_Bay-Singapore.html
Gardens by the Bay,Alison A,A break from the city,50,18-Feb-21,"Such a fantastic place to visit if you like gardening, flowers and scenery, this is the most relaxing garden I have ever visited. Everywhere you looked was pristine with healthy tropical plants and orchids.When you enter you are faced with a huge waterfall, so powerful.We all loved it and my daughter was able to take lots of photos for IG.",https://media-cdn.tripadvisor.com/media/photo-l/06/60/64/3f/alipali77.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r783061003-Gardens_by_the_Bay-Singapore.html
Gardens by the Bay,johnquinterophoto,The highlight of Singapore,50,17-Feb-21,"Amazing place, full of things to learn, see and explore. Perfect for families, couples or single visitors. Just bear in mind it's huge and you need at least a full day to see everything but that better yet if you split your visit into 2 days. Don't forget to stay for the lights and sounds display after sunset.",https://media-cdn.tripadvisor.com/media/photo-l/1b/1b/80/7c/johnquinterophoto.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r783052452-Gardens_by_the_Bay-Singapore.html
Gardens by the Bay,a_bhiz,Refreshed,50,10-Feb-21,"If you're looking for a place to unwind and find peace, do take a walk and enjoy Gardens by the Bay. The artificial waterfall is so relaxing to watch. You can take a trip up and be amazed.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/de/0a/default-avatar-2020-35.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r782616846-Gardens_by_the_Bay-Singapore.html
