attractionName,reviewerName,reviewTitle,ratings,reviewDate,reviewText,reviewerProfilePicURL,reviewURL
Jewel Changi Airport,yueqiaosm,Fantasic,50,13-Feb-21,"Extremely beautiful and seems to come into a fairyland. Just pity is the park is not big, just half of the circle.",https://media-cdn.tripadvisor.com/media/photo-l/05/bc/7b/49/yueqiaosm.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d17237163-r782779272-Jewel_Changi_Airport-Singapore.html
Jewel Changi Airport,HenrikWalther,Fantastic vue,50,27-Jan-21,when having waiting time in Changi airport don't miss this fantastic waterfall. We even had time for breakfast in this amasing area.,https://media-cdn.tripadvisor.com/media/photo-l/0c/37/80/83/henrikflygerw.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d17237163-r781844019-Jewel_Changi_Airport-Singapore.html
Jewel Changi Airport,wesleywaisiu,Best mall in Singapore,50,30-Dec-20,"Jewel is the best shopping mall for an airport around the world, as people said. It is also the best shopping mall in Singapore in my opinion.Firstly, the world biggest waterfall and the Show has already attracted all the eyeballs. The train that run through the building is awesome, although it's closed now.You can find all kinds of shops there. The restaurant choices are one of the most in the area, with all kinds of cuisine, from cheap to expensive. Cinema, hotel, indoor playground, supermarkets, Changi experience, a lot of parking space, it has all the things you need.The only drawback is the crowd, sometimes the 1000+ parking space will be all full, and hard to find a seat even with so many restaurants. And it's quite far to walk to T2 or T3 for the MRT station.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/ea/b2/default-avatar-2020-69.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d17237163-r780214907-Jewel_Changi_Airport-Singapore.html
Jewel Changi Airport,LUVBALIBEACH,A Great Alternative Mall to shop and dine till you drop and add on calories.,50,23-Dec-20,"We stayed at airport hotel cos we wanted to visit Jewel.It was a good choice to stay a night so no rush to see everything here.We came earlier before hotel's check in at 3pm. We had lunch at shake shack.Then started shopping immediately. There were 5 floors in all plus 2 basements.Shops are concentrated on 1 to 4, 5th is more entertainment, bars and food outlets. Level 4 mostly for kids shopping.B1 B2 food restaurants and some retail shops too.We shop at Desigual, Muji, Footlocker, ShirtBar, Zara, Marks and Spencer, etc.There were some designer shops like Moschino, Furla, Katespade, etc but since we can get these in towns, we look for unique shops. DESIGUAL has limited edition items only at Jewel when items are first launched. By the time items move to the town stores, items could be sold out.The shops are lined up in a circle so just walk and you end up at the starting point again. There are some restaurants or food shops in some of the levels so you can still dine then shop again on same level.We tried JW360 for dinner, Shake Shack for lunch, Paris Baquette for Tea Time and had ice cream at birds of paradise. Now, you see where the calories go?We just stroll floor by floor so easy to complete and not miss any shop.At level 5 we pay to visit the evening christmas garden so we can take some great photos. There is even a camp site on this level where you can rent a tent just for fun. We had already booked a hotel.The best part in Jewel is of course, the atrium with waterfall. At 630pm, there is the train going around the waterfall, snow flakes flying plus smoke effect. Just good photo session. Then 730pm, they have the light and music show. The sound of the water crashing down, colour changing plus music make this, a spectacular event!There is even a SHAW movie theatre so if visitors had a short stopover, they could watch a movie here.We love this place cos there is so much to see and do. Or even if you just want to waste time here, it can also help you to destress.There should be an airport shuttle just to bring people from town to here in a swift. That is, express airport shuttle.Overall, fantastic place to visit cos no tourists and thus not overly crowded.A good escape if time permits.",https://media-cdn.tripadvisor.com/media/photo-l/03/4e/24/bc/luvbalibeach.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d17237163-r779770288-Jewel_Changi_Airport-Singapore.html
Jewel Changi Airport,roniiskandarP,The Jewel of Singapore,50,16-Dec-20,"Great place to venture, alot of shops, cafe and much more, great for shopping and varieties of food to choose for.",https://media-cdn.tripadvisor.com/media/photo-l/08/53/06/39/roni-alexander-p.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d17237163-r779306219-Jewel_Changi_Airport-Singapore.html
Jewel Changi Airport,ZahidahTifny,Kudos to Mr Abdul!,50,10-Dec-20,"We were walking around at approx 9.30am at Jewel to find places to eat. As we were searching at the directory, the Jewel staff approached us and informed us that most of the eateries will open approximately at 10.30am. Those that were already open are non-halal options.He gave many suggestions on where to go and what to eat and assured us that we will enjoy our visit here.Thank you for being proactive and going out of the way to speak to us while on his cleaning duty. Please convey my thanks to Mr Abdul (I hope I remember his name correctly).",https://media-cdn.tripadvisor.com/media/photo-l/0e/cf/22/ff/zahidahtifny.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d17237163-r778877899-Jewel_Changi_Airport-Singapore.html
Jewel Changi Airport,H8400ZJjeanl,Will go again,50,4-Dec-20,Amazing... My kids absolutely loved it here. Such a fun place to go and will definitely go there again.,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/7c/01/default-avatar-2020-5.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d17237163-r778415663-Jewel_Changi_Airport-Singapore.html
Jewel Changi Airport,CinFok,Interesting & wonderful experience,50,29-Nov-20,Had a sparkling time at Jewel! Like the Manual Life sky net walking! Had a thrilling good time. The staff there were also friendly and helpful.,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/77/ae/default-avatar-2020-2.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d17237163-r778106471-Jewel_Changi_Airport-Singapore.html
Jewel Changi Airport,Thomas V,The Best Airport in the World,50,23-Oct-20,"This is the most beautiful and best functioning airport I have ever been to, and I have been to very many. It is quite impressive as everything works so well. Lost of shops, restaurants and lounges and lots of open spaces. And the design is modern and beautiful. A pleasure to pass through.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e3/1f/default-avatar-2020-46.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d17237163-r775267375-Jewel_Changi_Airport-Singapore.html
Jewel Changi Airport,Curious265314,Really impressive,50,15-Oct-20,Really beautiful airport. The waterfall portion isn't exactly inside the airport but they make it pretty accessible for travelers to visit. If you're only doing a quick layover at the airport and want to see the waterfall you can take the tram that drives by it. We came to the airport early just to check it out. You can even check your bags in there so you can walk around..just make sure you leave enough time to do all of it and get to your gate on time.,https://media-cdn.tripadvisor.com/media/photo-l/1c/2c/bf/4b/curious265314.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d17237163-r774329421-Jewel_Changi_Airport-Singapore.html
