attractionName,reviewerName,reviewTitle,ratings,reviewDate,reviewText,reviewerProfilePicURL,reviewURL
Jurong Bird Park,Joneyywee,My Greatest Exprience in Jurong bird park,50,29-Mar-21,"Greetings everyone, I am amaze by how well Jurong Bird Park employee treat me and my family. Their customer service is very pleasant as there they approach us with a happy bright smile. Following that, the employee tell us information and even gives us a fun fact of a place in Jurong Bird park. i really love their customer service. To gives us a end , Jurong bird park even gives us a great Fewell as we will not be there frequently. The employee even treat us like we are their king. :) all is great exprience",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e3/6a/default-avatar-2020-47.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d315466-r785445385-Jurong_Bird_Park-Singapore.html
Jurong Bird Park,leecD7494SE,Brings back memories,50,1-Feb-21,"A nostalgic trip back to the bird park to experience it before they shifts to Mandai. Jurong used to be very happening with crocodile farm and Tang Dynasty. World class bird park with entertaining shows. Must visit the wings of Asia and the Philippines eagle. Highly recommended for all Singaporeans to visit before they move away. Don't forget to say hello to the ""retired"" birds. Especially Big John. He is legend!",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f3/7c/default-avatar-2020-29.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d315466-r782108346-Jurong_Bird_Park-Singapore.html
Jurong Bird Park,109tto,A Great 50th Jubilee!,50,29-Jan-21,"We enjoyed the visit after many years since we last visited.The birds in the various zones are well managed and taken care of. We were able to walk leisurely and view the different types of species.The safe distancing measures were helpful and effective, and the staff ensured the rules were able to control the crowd.We are thankful for the prices during this 50th anniversary as it felt worth it for us, as long if you want to visit the zones/shows that you are interested in.",https://media-cdn.tripadvisor.com/media/photo-l/1c/82/88/af/avatar.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d315466-r781957819-Jurong_Bird_Park-Singapore.html
Jurong Bird Park,Jingpei,Worth every penny for the visit,50,23-Jan-21,"Enjoyed myself during this visit, must have been close to 30 years since my last visit. Coincide with the 50 years anniversary where entrance fee is $2.50. Also probably the last time to visit the Jurong Bird Park before it is being relocated to the Mandai area, the landscape and definitely brought back countless memories.. the bird shows are still good, more of a walk down the memory lane and to see the new attractions within.. definitely worth bringing the family to visit again.",https://media-cdn.tripadvisor.com/media/photo-l/03/12/8b/af/facebook-avatar.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d315466-r781605798-Jurong_Bird_Park-Singapore.html
Jurong Bird Park,wesleywaisiu,Bird park is exciting,50,22-Jan-21,"Pay $2.5 promotion price for the 50th year anniversary celebration. The bird park is one of the most famous tourist attractions in Singapore.The park is not big, but has a bit uphill and downhill, suggest to purchase the tram ticket for moving around the park.There are a few main attraction have to charge extra $2.5 per entry during the $2.5 promotional period, but the total price still cheaper than the original price.The bird collection is a lot in the park, really have to spend one full day if you would like to have a look through all the birds there and watch the shows.There are a few small restaurants with the main attractions, but not many seats for those restaurants, which is a problem there in the park.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/ea/b2/default-avatar-2020-69.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d315466-r781562897-Jurong_Bird_Park-Singapore.html
Jurong Bird Park,623devinl,Very clean and well-maintained,50,19-Jan-21,"This is a very clean and well-maintained park. Check out this place if you have never visited here before or even if you have, do revisit before it makes its move to Mandai!",https://media-cdn.tripadvisor.com/media/photo-l/07/fc/24/13/devin-l.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d315466-r781397175-Jurong_Bird_Park-Singapore.html
Jurong Bird Park,libing8613,familyday,50,15-Nov-20,bring childen study birds .my two kids very like bird and Learn about the species of birds and their colors,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e5/2b/default-avatar-2020-52.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d315466-r777185462-Jurong_Bird_Park-Singapore.html
Jurong Bird Park,thetravellingfugu,Perfect for bird lovers,50,28-Oct-20,"Decided to visit before this park relocates to Mandai in the next few years. I believe this attraction is often overlooked by many in favour for the zoo and river/night safaris. I loved my visit here. Also signed up for the 'birds eye tour'ù, a behind-the-scenes tour that allowed me to get up close with a hornbill, owl, hawk and 18-day old cockatiel and talk to their keepers. It was a real eye-opener and interactive experience. Strongly recommend watching their shows and attending the feeding sessions as well.",https://media-cdn.tripadvisor.com/media/photo-l/15/0c/84/1a/thetravellingfugu.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d315466-r775800032-Jurong_Bird_Park-Singapore.html
Jurong Bird Park,William C,A Heaven and Sanctuary for all Avian species,50,17-Jul-20,"I've been to Jurong Bird park many times in fact I couldn't remember. Whenever I have friends and families visiting me or with my friend here in SG or just by myself this is one of my go to favorite destinations. Built in 1971 it was first located in Jurong Hills then moved to Mandai Lake in 2020, in the Western part of Singapore with an area of 20 Hectares and shelters about 12,000 animals this is one of the world's best and most beautiful bird parks. Exhibits in the park include the Waterfall Aviary, with one of the world's tallest man made waterfalls at 30 meters nestled in the middle of a tropical like forest with streams and real life suspension bridge that gives you a panoramic view of the falls. The Aviary mainly focus on African birds which are free flying within the Aviary. The Dinosaur descendants houses large extant and flightless birds that include Crane, Ostriches, Cassowary to name a few. Wings of Asia houses about 200 species of Southeast Asian birds with different aviaries. Lorry Loft is the world's largest walk-in aviary at 9 stories high that house over 1000 lorries. Penguin coast houses the King penguin, African, Humboldt penguins etc, which lived in Indoor climate controlled den suitable for Penguins. Pelican cove is a beautiful man made lake that houses different species of Pelicans. There is a board walk also where visitors can view them closely. There are there different types of Flamingo Pool and Lake that houses Greater and Lesser Flamingos as well as the Caribbean Flamingo. And finally the Birds of Prey, where the mighty raptors are based including vultures, hawks and the critically endangered Philippine Eagles, one of the world's largest Eagles and there are two of them located here, which just opened this year. I personally visited this July to witness and support these Amazing birds of prey for the continued sustainability of their species. During my visit the cost of membership is at 39 dollars and gives me a year of membership privilege and free access which is very much worth the price and you're also supporting the birds in captivity inside. Other attractions in the park include shows like King of the Skies (Birds of Prey) and High Flyers (Different birds species). There are plenty of eateries and vending machines inside including drinking water fountain. Shops are available upon exit for your perfect memorabilia and souvenirs. The park itself is very well managed, maintained, clean and to sum it up - very beautiful. Finally, despite me visiting this park a lot of times, each time I go here it still feels my first time - always excited, surprised and delighted. I will surely be back for more :=)",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e2/81/default-avatar-2020-43.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d315466-r760272586-Jurong_Bird_Park-Singapore.html
Jurong Bird Park,insta_foodjournallll,Jurongggggg!,50,22-Jun-20,Jurong is the best bird park. I never really knew that there are so many species of birds.Like it is so perfectly managed and you also have an opportunity to feed parrots also.,https://media-cdn.tripadvisor.com/media/photo-l/1b/70/43/cd/insta-foodjournallll.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d315466-r757937268-Jurong_Bird_Park-Singapore.html
