attractionName,reviewerName,reviewTitle,ratings,reviewDate,reviewText,reviewerProfilePicURL,reviewURL
National Museum of Singapore,Blok103,Fantastic,50,20-Mar-21,A really fascinating day out. We didn't get to see the whole thing so we will be going back. Lots of insight in to Singapore's history,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/eb/a3/default-avatar-2020-38.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324550-r784883623-National_Museum_of_Singapore-Singapore.html
National Museum of Singapore,Jingpei,"A walk in the history, deeply etched",50,28-Feb-21,"Visited for the exhibition on Pandemic and Truly Home. A good experience to walk through the short but rich history of Singapore. Love the effort to include real life accounts and engaging locals to interviews for a perspective from their point of view. How people in different walks of life came through the tumultuous times of Singapore's past and most recently the Covid-19 pandemic. Manage to see some real artefacts from the history, part of my growing up years and things that we won't ever go back to again. Can only reminiscence..",https://media-cdn.tripadvisor.com/media/photo-l/03/12/8b/af/facebook-avatar.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324550-r783723084-National_Museum_of_Singapore-Singapore.html
National Museum of Singapore,everkennn,A must go for all Singaporeans,50,13-Jan-21,Really one of the best museums in singapore due to the extensive research and collections for Singaporeans to connect with our short but rich history.Helps us understand lee kuan yew and the earlier years in Singapore.,https://media-cdn.tripadvisor.com/media/photo-l/18/cd/8d/e9/caption.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324550-r781079224-National_Museum_of_Singapore-Singapore.html
National Museum of Singapore,DoricWanderer,big,50,5-Oct-20,we both like museums and this one was worth a visit. loads of information about the island pre and post independence,https://media-cdn.tripadvisor.com/media/photo-s/01/2e/70/7f/avatar066.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324550-r773070972-National_Museum_of_Singapore-Singapore.html
National Museum of Singapore,jackytansg,A Must-Visit Place!,50,22-Aug-20,"If you wish to learn more about the history of Singapore, then this is a must visit place! Start with a visit at the Glass Rotunda at level 2, from there you will be connected to Singapore History Gallery. Do spent at least 3 hrs for a in-depth understanding of Singapore history from the 14th century to present day.",https://media-cdn.tripadvisor.com/media/photo-l/1b/d3/88/05/avatar.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324550-r766319619-National_Museum_of_Singapore-Singapore.html
National Museum of Singapore,myrayu,Combination of modern and tradition,50,20-Jul-20,"Public areas are spacious and full of modern art design. The galleries are well structured and very informative with stories, pictures, objects and multimedia illustrations. Cafe was luminous, quiet, cosy (with aircon), perfect for a peaceful afternoon tea, with a good book.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f4/d0/default-avatar-2020-33.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324550-r760769497-National_Museum_of_Singapore-Singapore.html
National Museum of Singapore,pizzaquen96,WE ENJOYED IT,50,12-May-20,"It was amazing. Me and my friends had lots of fun. We had learned a lot from the exhibitions. The staff were very friendly and nice also. Other than that, there were really cool and artsy background to take photos! Worth a visit!! 10/10",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f3/7c/default-avatar-2020-29.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324550-r753442398-National_Museum_of_Singapore-Singapore.html
National Museum of Singapore,682janetl,Informative and Interesting,50,8-Apr-20,I am not your typical ''musuems'' person but was recommended this by a friend who lives in Singapore and did visit for a couple of hours and frankly would recommend to anyone who is interested in history and culture.,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/eb/a3/default-avatar-2020-38.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324550-r752361166-National_Museum_of_Singapore-Singapore.html
National Museum of Singapore,Bon444,Very Interesting Visit,50,5-Apr-20,"We visited during the COVID-19 outbreak so I'm sure there were far fewer visitors than usual which made it a very relaxing and pleasant experience for those of us who were there. The different galleries in the museum are very well laid out and, having been to the Battlebox and learnt about Singapore during the Second World War after the surrender to Japan, we found the gallery dedicated to this period added to the experience. I think we probably visited the attractions in the correct order as we knew a lot of the facts before we saw many of the artefacts of the period that were on display..Another gallery centred on colonial times with many relevant items of clothing, photos and other reminders of the period. A must see area of the museum is The Story Of the Forest- a gently curving stair that leads from the first floor down to the ground floor illustrated with three-dimensional animations of the flora and fauna of the forest . At the time we visited, we were the only people walking down and it was an absolutely fantastic experience. We could probably have spent more time looking around if we were able to but with so much to see, choose which galleries interest you and concentrate on those if you have limited time. All the staff we came across were extremely kind, helpful and knowledgeable.",https://media-cdn.tripadvisor.com/media/photo-l/0b/21/ba/5e/bon444.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324550-r752286615-National_Museum_of_Singapore-Singapore.html
National Museum of Singapore,Luvingmywine,Learn how the Country came to be ....,50,30-Mar-20,"The amazing thing about Singapore is that despite the multiple ethnicities in the city / country, it is a true melting pot. Other countries have a LOT to learn from Singaporeans and how they have joined forces and become one identity!",https://media-cdn.tripadvisor.com/media/photo-l/07/5d/a5/67/luvingmywine.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324550-r752006115-National_Museum_of_Singapore-Singapore.html
