attractionName,reviewerName,reviewTitle,ratings,reviewDate,reviewText,reviewerProfilePicURL,reviewURL
National Orchid Garden,YungTraveller2,Lovely experience + gardens,50,10-Dec-20,We had a very nice time experience all this place had to offer. Many different species. Informative and helpful staff. Def need to make time to walk around gardens after to get full experience,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f4/5d/default-avatar-2020-32.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d317453-r778886182-National_Orchid_Garden-Singapore.html
National Orchid Garden,xiuxiu111,Beautiful Flowers,50,27-Nov-20,"If you have the time make this a must visit of your travel in singapore, the variety of orcvhids is amazing!",https://media-cdn.tripadvisor.com/media/photo-l/1c/5e/71/f4/xiuxiu111.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d317453-r777963135-National_Orchid_Garden-Singapore.html
National Orchid Garden,dyhx,Wide variety of Orchids,50,7-Nov-20,"A themed garden within the Garden. Set within the Singapore Botanic Gardens, it's a special themed area focused on the National Flower, Orchids.Here, one will find a wide variety of Orchid species as well as those named after celebrities and Heads of State.It was free when I visited (due to COVID I suppose) but it did look like they used to charge for entry (there was a ticketing counter and turnstiles).",https://media-cdn.tripadvisor.com/media/photo-l/11/ac/4d/db/dyhx.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d317453-r776685799-National_Orchid_Garden-Singapore.html
National Orchid Garden,anuyav2020,Wild flowers,50,5-Nov-20,I like flowers and I got to admit that the National Orchid Garden is a gd choice for anyone wild about petals. The place is filled with wonderful orchids.,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f2/59/default-avatar-2020-24.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d317453-r776513252-National_Orchid_Garden-Singapore.html
National Orchid Garden,Pruguy,One of the Best in the World,50,3-Nov-20,Has to be seen to be believed. Absolutely one of the best public gardens in the world. Well maintained and beautifully manicured. We spent twice as much time as we had planned. You could spend a relaxing day if you had the time.,https://media-cdn.tripadvisor.com/media/photo-l/0a/2a/a5/d6/pruguy.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d317453-r776379687-National_Orchid_Garden-Singapore.html
National Orchid Garden,Afreen K,Gorgeous place to viist,50,3-Nov-20,This is a must see in Singapore. The collections of orchids are out of the world. So many different vibrant colors. Definitely a must!,https://media-cdn.tripadvisor.com/media/photo-l/1a/23/fa/a5/afreen-k.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d317453-r776317817-National_Orchid_Garden-Singapore.html
National Orchid Garden,Pacman479,Orchids galore,50,14-Oct-20,"This is one of my girlfriends favourite places, so we come here often. This is helped with the free entry. The orchid display is her favourite part. I just like the peace and tranquillity.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/eb/43/default-avatar-2020-11.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d317453-r774223587-National_Orchid_Garden-Singapore.html
National Orchid Garden,imthecraziestdude,romantic! beautiful! instagramable! good vibes!,50,18-Sep-20,It smells so good and ambience is amazing! I like photography so I go there time to time alone or with friends!Good vibes and great times!see you next time!,https://media-cdn.tripadvisor.com/media/photo-l/1b/f2/66/fc/imthecraziestdude.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d317453-r770820055-National_Orchid_Garden-Singapore.html
National Orchid Garden,186356Verychoosy,Just beautiful,50,4-Sep-20,"It was quite warm the day we visited. The collection is incredible,all beautifully landscaped to show to best advantage. A delightful way to spend a morning or afternoon.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f3/23/default-avatar-2020-28.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d317453-r768704740-National_Orchid_Garden-Singapore.html
National Orchid Garden,344terrif,Beautiful gardens,50,2-Aug-20,"If you like orchids this is a must. The way the orchids are arranged is quite amazing. So many different shapes, colours and sizes.",https://media-cdn.tripadvisor.com/media/photo-l/1b/b8/95/cd/344terrif.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d317453-r762677441-National_Orchid_Garden-Singapore.html
National Orchid Garden,AndyandJackie,Amazing orchid displays,50,27-Jun-20,"Wow - what a collection of orchids. The entrance area is very impressive by itself and draws you in. There are many walk ways and areas once inside for you to see the variety of orchids.I was surprised to see so many in individual pots, and then placed around the gardens. I would have though they could have been in the ground itself to create the displays.It was lovely to see and another Singapore must see! Easily reached via the MRT",https://media-cdn.tripadvisor.com/media/photo-l/02/7d/83/0f/andyandjackie.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d317453-r758282619-National_Orchid_Garden-Singapore.html
National Orchid Garden,Ingrid J,Wonderful day out,50,26-Jun-20,"We loved spending the day here admiring the beautiful flowers. The orchids and other flora were spectacular! It was very hot and humid (like all of Singapore!), so dress accordingly. It's a little hilly, but on paths, so walking shoes are best (not sandals).",https://media-cdn.tripadvisor.com/media/photo-l/1b/48/5c/ec/ingrid-j.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d317453-r758224745-National_Orchid_Garden-Singapore.html
National Orchid Garden,bhodgkinson,Beautiful,50,21-Jun-20,The Orchid Gardens inside the Botanical Gardens are so well maintained and so pretty. You can get so many good photos of the Orchids. It was also free to enter when I visited (for students) which was much appreciated.,https://media-cdn.tripadvisor.com/media/photo-l/1b/6f/50/f6/caption.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d317453-r757808637-National_Orchid_Garden-Singapore.html
