attractionName,reviewerName,reviewTitle,ratings,reviewDate,reviewText,reviewerProfilePicURL,reviewURL
Night Safari,syuxsie,Great family experience,50,31-Jan-21,"Using the SRV was a breeze and it was the first time my family had come to the Nighy Safari together. It was a great experience and every staff we came across were friendly, professional and beyond helpful. We had come with my elderly grandmother in a wheelchair and the staff assisted with getting her on the tram ride. The tram is definitely a must-do!Special mention to Shu Wen from the souvenir shop who went the extra mile to assist me with a personal problem. Beyond grateful for her help.",https://media-cdn.tripadvisor.com/media/photo-l/06/ec/cf/81/syuxsie.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324761-r782062128-Night_Safari-Singapore.html
Night Safari,W599MOkareng,Attentive and considerate service,50,30-Jan-21,"Brought our elderly parents for their first time to the night safari and it was a pleasant experience. Since the last time I went was more than a decade ago, we didn't realise there was a long queue and wait for the popular Creatures of the Night show. Seeing we were probably looking kind of lost and my mum's mobility challenges, an attentive staff, Damian came forth to help us and made recommendations for us to go on the tram ride first and come back for the next show. He kindly helped us to the priority queue for the tram ride and when we came back later for the show, directed us to where my mum could sit more comfortably as we waited for our turn. Kudos and thank you to Damian and the staff at the Night Safari for their excellent service, friendliness and helpfulness!",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e2/4a/default-avatar-2020-42.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324761-r782018782-Night_Safari-Singapore.html
Night Safari,B2482PSnicolac,Great Experience/ Night Zoo,50,17-Jan-21,Excellent Night.Staff handled the crowds well.The tram rides are a great way to get around.The trails were great to walk around too.,https://media-cdn.tripadvisor.com/media/photo-l/06/b7/63/9e/nicola-c.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324761-r781255198-Night_Safari-Singapore.html
Night Safari,Chelsea B,Favourite ever zoo experience,50,11-Nov-20,"The world's first nocturnal zoo, I was particularly excited about this one. I had read many online reviews about how busy it was and how the queues were ridiculous. When you enter the zoo you have the option to go around the zoo by foot or by tram, we chose by foot and we didn't see another person our entire time there!We had so much fun, the pathways were very dark and it felt very eerie at times. The animal enclosures are lit in a way that is meant to resemble moonlight as not to disturb nocturnal animals, and we found we were really able to see a lot of activity from animals that we're so used to seeing napping in a corner.",https://media-cdn.tripadvisor.com/media/photo-l/1c/4d/f5/28/chelsea-b.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324761-r776945326-Night_Safari-Singapore.html
Night Safari,HerrSuman,Lovely place to experience night safari,50,6-Nov-20,Had been to this place many times with kids with adults and every time is amazes me. One of the must thing to do while being in Singapore ... best part is Animals are well taken care by the zoo,https://media-cdn.tripadvisor.com/media/photo-l/07/d6/c8/e3/herrsuman.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324761-r776602713-Night_Safari-Singapore.html
Night Safari,antlynn119,Unique experience for family,50,26-Oct-20,Great time to visit. No crowds and safe distancing in place only downside is masks are mandatory all the time but it is for our safety! Great view of amazing animals roaming around at night and even touching distance (not recommended) while passing them on the tram ride. Walking paths meander through the park in dimly lit areas where you can see the animals in their nocturnal habitats. Really fun and kids loved it. Always come back and recommend to all visitors to Singapore.,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f4/20/default-avatar-2020-31.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324761-r775637019-Night_Safari-Singapore.html
Night Safari,John_beck_10,Discounted Ticket Prices,50,23-Oct-20,Im going to the night safari is because of the discounted ticket prices. Booking the ticket online is way more convenient as you get to skip the queue. You can also get to buy the bundle with an affordable prices.,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f1/42/default-avatar-2020-20.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324761-r775251212-Night_Safari-Singapore.html
Night Safari,angelo_govender,Good experience,50,22-Oct-20,"The night Safari was relatively decent. The only animals that were able to roam on the road were deer which was ok. Other than that we were able to see lion, rhino, hippo and a tiger alone with some flamingos. In total the whole team ride lasted about 20 odd minutes.",https://media-cdn.tripadvisor.com/media/photo-l/11/1c/b1/45/angelo-g.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324761-r775167882-Night_Safari-Singapore.html
Night Safari,Jingpei,World class experience,50,3-Oct-20,"Last visited about 25 years ago when it open as the world's first night safari. No major recollection except being on the tram and a deer chased our tram at one part.Managed to spent a little bit more time here this time round and walked through 1 or 2 of the trails, I must say the trails are more interesting than the tram rides. If you can afford more time to walk, definitely take the trails as there are more interesting things to see. The trip was thoroughly interesting except for the fact that thunderstorm brought an unexpected end. Nice experience to see the animals active at night in person rather than on TV.",https://media-cdn.tripadvisor.com/media/photo-l/03/12/8b/af/facebook-avatar.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324761-r772849603-Night_Safari-Singapore.html
Night Safari,A5H-1234,Absolutely brilliant!,50,28-Sep-20,"Amazing experience! A very nicely set-up mainland safari trip. Got to see magnificent creatures of the wild. Great views from the tram and you can even walk around on different trails. Helpful staff to guide you around.If you are not a fan of mosquitoes, be sure to take some repellent or cover yourself.There is always that one clumsy tourist whose camera flashes in the darkness, even though you are strictly told to turn your flash off.Observer the natural beauty with your eyes, forget about your camera.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/ef/73/default-avatar-2020-13.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324761-r772171475-Night_Safari-Singapore.html
