attractionName,reviewerName,reviewTitle,ratings,reviewDate,reviewText,reviewerProfilePicURL,reviewURL
Sands Skypark Observation Deck,Thomas V,Go for the Views,50,11-Nov-20,This is a new must-go site for the tourists because of the wild architecture and the splendid views of the entire city and the region. Some fancy places to eat on the side.,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e3/1f/default-avatar-2020-46.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r776939310-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,Afreen K,Excellent view from the top,50,3-Nov-20,"The view from up here in magnificent. You can see the Garden by the Bay, and whole Singapore. You can also grab a bite at the restaurant on the deck. But you do have to make a reservation fo it. The infinity pool is not accessible to visitors if you are not a hotel guests.",https://media-cdn.tripadvisor.com/media/photo-l/1a/23/fa/a5/afreen-k.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r776317752-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,ml088643,Panoramic View,50,5-Oct-20,The view from the Observation Deck gave us a view of Singapore skyline from the PSA Container port to the Eastern anchorage.,https://media-cdn.tripadvisor.com/media/photo-l/06/00/3c/fc/lui-m.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r773202584-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,Fishtales W,Singapore shimmers from 56 floors up,50,4-Oct-20,The city lighting up on dusk. It looked like a glittering jewel. The view of the singapore flyer and the magnificent gardens by the Bay was breathtaking,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/eb/a3/default-avatar-2020-38.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r772940763-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,HerrSuman,Loved the time spent,50,23-Sep-20,"Make sure you reach there by 6:45 pm to see Singapore in day light and then sun set, and gradually you can see lights illuminating ...",https://media-cdn.tripadvisor.com/media/photo-l/07/d6/c8/e3/herrsuman.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r771535824-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,NerissaNaval,Singapore's Beauty From Above,50,23-Sep-20,"My partner and I have been living here in Singapore for almost 3 years now, and this was the first time we went up there and it was amazing! The view from that deck during daytime was simply stunning - Singapore looked like a surreal garden during the day! From there you could take in the Malacca Straits with all the ships lined up like an armada about to go into battle; the Supertree Grove towering over the gardens underneath; the Conservatory Complex of the Flower Dome and Cloud Forest along the edge of the Marina Reservoir; the Singapore Skyline with its skyscrapers. And at night, the city is lit up and also has it's different kind of beauty. Dining at the Ce La Vi or the Skybar at night is a must-try! Singapore's beauty, day or night, is best viewed here.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/de/0a/default-avatar-2020-35.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r771524092-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,schiatansc,Great city view,50,19-Sep-20,Great city view. The photos can't describe how beautiful the city night view. Must go and experience it!,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/eb/a3/default-avatar-2020-38.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r770951816-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,imthecraziestdude,nice view! one of the best rooftop observation decks!,50,9-Sep-20,It can get very hot upstairs so dont forget your umbrellas!You can see bay and ocean side frim there !cheers!,https://media-cdn.tripadvisor.com/media/photo-l/1b/f2/66/fc/imthecraziestdude.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r769468375-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,186356Verychoosy,Just wow!,50,4-Sep-20,"Incredible structure, fantastic views. Didn't realise that the top of the building provided a nightclub, bar & swimming pool! 3 towers with speedy lifts will soon take you to the most incredible view. A must see!",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f3/23/default-avatar-2020-28.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r768704938-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,mmuazhiim,Amazing!,50,13-Aug-20,You can see singapore skyline clearly from here. The deck itself is quite big so you will have enough space to capture your moment,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e5/2b/default-avatar-2020-52.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r764514345-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,ChillaxKoh,Amazing views,50,3-Aug-20,Best spot to catch a glimpse of Singapore Cityscape. A nice spot to bring my family here once in a while.,https://media-cdn.tripadvisor.com/media/photo-l/05/d2/4a/67/audree-koh.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r762796525-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,Happy_Man_2017,"SKYPARK @Marina Bay Sands, SG",50,26-Jul-20,Steps apart may make you feel like taking a photo you would like to keep. The CURVE of the poolside when viewed from one end will mesmerize you.Worth the time visiting there. EXCELLENT place no one should miss.,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f2/b8/default-avatar-2020-26.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r761556520-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,rohansirsi,Great Experience,50,13-Jun-20,We visited Marina Bay Sands Skypark deck and we could glance the city from a great altitude. This place was once the tallest place to visit. This place is worth a visit.,https://media-cdn.tripadvisor.com/media/photo-l/1b/5a/dc/05/rohansirsi.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r757311699-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,Aslam_Sherif,Stunning View,50,7-Jun-20,"This is one of the coolest place to have the best scenic and panoramic outlook of the entire Singapore's crazy skyline, bustling with the amazing green architecture, green parks as well as the organized infrastructure. It is very relaxing. I visited this during the daytime and it was not bust at all. It can get very busy in the evening.If you are in Singapore this is a must visit, definitely worth paying.",https://media-cdn.tripadvisor.com/media/photo-l/14/7e/2d/65/aslam-sherif.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r756974704-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,calvinpbear,best view of downtown & harbor,50,24-May-20,We went on a clear low wind day. The main deck has a clear view or the harbor and down town. Bring binoculars. You can get cocktails at the bar and maybe not have to pay for the elevator. watch the weather. We missed one day when it was rainy,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/ea/b2/default-avatar-2020-69.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r755349048-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,Mark S,Do It!,50,5-May-20,"The experience as well as the views are stunning. We arrived late afternoon and stayed well into the evening, enjoying the view, the lights, the super trees, the harbor, and more.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/eb/43/default-avatar-2020-11.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r753143853-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,zebragorda,Great views,50,27-Apr-20,Night time visit a must. The use of lights in Singapore is legendary so be sure to see the light shows at night.,https://media-cdn.tripadvisor.com/media/photo-l/06/d0/e0/ff/joseph-s.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r752940323-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,natc729,All of Singapore,50,14-Apr-20,You can take splendid pictures of Singapore. It is best to go at Sunset so you can see part of day and night.,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/ef/73/default-avatar-2020-13.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r752614042-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,Ambar_Amit,An Observation Deck with a Fine View,50,12-Apr-20,"This is a must visit attraction. You get a wide stretching view of the sea on one side, dotted with moored Ships and yachts, and the main business district of SGP on the other side with an unending maze of skyscrapers. The Gardens by the bay, the Singapore eye and the rest of the city can be viewed, too. It's a beautiful site and should be visited in the evening when the whole city is lit up. The queues can be very long on holidays, but the whole experience is worth it.By the looks of it, the idea of sitting at the Bar over the Deck would be quite a fine thing to do :-)",https://media-cdn.tripadvisor.com/media/photo-l/0e/29/73/a7/madhu-ambar.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r752528133-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,Adam C,Well worth the cost,50,29-Mar-20,This was a great place to look over the entire city. The cost was understandable but overall it wasn't that bad. Easy to get up and down but bring sunscreen if you go during the day.,https://media-cdn.tripadvisor.com/media/photo-l/0a/27/f2/96/aclary.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r751979389-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,reeveja1,Panoramic Views,50,28-Mar-20,"Worth seeing simply for the amazing views. However, once you have walked around the deck a couple of times there is nothing more to see or do.",https://media-cdn.tripadvisor.com/media/photo-l/05/fa/bc/4f/jed-r.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r751937109-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,SingingHarleyowner,A must see.,50,27-Mar-20,The observation deck is actually floor 56. Pay extra to go to floor 57 before you enter the lift in tower three. for the best experience.,https://media-cdn.tripadvisor.com/media/photo-l/08/db/d4/20/singingharleyowner.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r751895491-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,luxetrip,Wow!,50,24-Mar-20,Fantastic views of Singapore! It was quite enchanting to also watch the Gardens by the Bay light show from this deck. Also loved the souvenir photos of us that came with the paid tickets!,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e8/5b/default-avatar-2020-61.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r751718648-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,Val B,What views!,50,23-Mar-20,"This is a must visit place. The views from here, 200 metres up in the sky are breathtaking. Not for those with vertigo but magnificent for all others!",https://media-cdn.tripadvisor.com/media/photo-l/0d/f8/cd/7d/val-b.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r751674830-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,89karinh,Great city views,50,22-Mar-20,You're so high! We got access to the skypark for free because we stayed at the Marina Bay Sands hotel. Amazing views from the top! We went at night and the city was lit up!,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e5/2b/default-avatar-2020-52.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r751564581-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,AnnT331,marina sands skypark observation deck,50,18-Mar-20,"a must to do in Singapore, there is a charge to go up but take your bording pass with you and you get a discount on the price. Well worth it for the views of the city.",https://media-cdn.tripadvisor.com/media/photo-o/04/65/cd/b4/ann-t.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r751255027-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,986darshand,visit once,50,16-Mar-20,"Marina sands bay sky park observation desk experience is awesome. i will tell you genuine experience,tickets you may buy from basement of the hotel or from Klook app., reach there around 5pm and enjoy sunset as well as night view it was so satisfying. here i will recommend if you had experienced already burj khalifa or any other high rise attractions then you can skip this. carry enough water with you bcz at that hight you will not get free water it will cost INR 400 rs. FOR 700 ml water bottle. disappointing for photography lovers is no tripods allow, camera allowed only no extra charge for camera. once you go up there then no tile limit for exit so enjoy fully and if you are hurry for next attractions then its your choice bcz down at garden by the bay there is night sound and light show.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e4/2d/default-avatar-2020-48.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r751093358-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,425bethw,"Very high up, stunning views",50,16-Mar-20,"About 20 Singapore dollars to visit. Exceptional staff to guide you through and up to the top. Had to have temperature checks on arrival, but that's standard in most places now what with Coronavirus. Its up on 56th floor, the lift was fun! At the top we aimed to get there for sunset as then we got the views followed by the night scene with all the pretty lights. Two sides: city view and garden view (gardens by the bay view) you could see the gardens by the bay light show from up top which was amazing! Unfortunately there was some works being done so we couldnt get to the tip of the ""boat"". Luckily it was very empty ?Coronavirus caused it but we were grateful. We were then shown up to level 57 where we had a drink in the bar, but we had mixed messages as to this, someone said that was for an extra ticket holder so we dont know whether the lift guy got us confused with someone else. We had a nice (but pricey) cocktail up here and as its international womens day all women got a yummy shot! Go ladies!!",https://media-cdn.tripadvisor.com/media/photo-l/19/23/c7/4e/avatar.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r751061195-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,S7672IZpeterh,Wonderful Views,50,16-Mar-20,"A good way to see the city of Singapore from 56 floors high,the views are spectacular and you can see all the main attractions in the city from this one place",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f2/7a/default-avatar-2020-25.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r751034417-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,Derk v,Great views ovr singapore,50,6-Mar-20,"Well worth a visit when in Singapore. The Sky Observation deck will also give you access to the cafe on top of the observation desk, with an outside terrace to enjoy a drink and a meal overlooking Singapore.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f3/7c/default-avatar-2020-29.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r749389050-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,YvySurrey_UK,Good view of the surrounding area.,50,5-Mar-20,Worth coming up to this viewing platform - how they constructed it I will never know! Lift very quick and you get a good view all around and out into the marina and harbour. You can also see at one end over to the infinity hotel pool.,https://media-cdn.tripadvisor.com/media/photo-s/01/2e/70/89/avatar010.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r749224180-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,SaraLNg,Best time to come in the night or during sunset,50,3-Mar-20,"Great view of Singapore's skyline, best time to come is either during sunset or at night, it's more cooling and the night view is better.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e5/2b/default-avatar-2020-52.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r748798719-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,Jim M,Unique structure and amazing views!,50,2-Mar-20,"If you're a modern architecture buff and enjoy views from elevated heights, then this wins on both counts. The Skypark is shaped like a long boat and sits atop - and straddles - three 56-storey towers of hotel accommodation. At ground level there's a casino and restaurants/bars etc. But the views from the Skypark viewing deck are spectacular and offer a great viewing point for the Gardens by the Bay night-time light show.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/77/ae/default-avatar-2020-2.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r748612285-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,Paul B,""" Iconic feature to the Singaporean skyline """,50,1-Mar-20,"WOW !!!!!Its amazing , to be given the opportunity to get so hight to have a panoramic view 270 degrees of the city simply fantastic , so many photo opportunities , so much to take in.A great tourist destination.",https://media-cdn.tripadvisor.com/media/photo-l/06/e2/83/e4/paul-b.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r748453597-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,Jeff1903,Great view,50,1-Mar-20,"It is a great view from the iconic building in Singapore and one of the more recognisable ones in the world. It is a reasonable price as these things go, and affords a great view. Some of the platform is closed for maintenance as of Feb 2020, but we were warned of this before buying our tickets, and the all round panorama is still visible.If you are a lover of heights, you will want to see this one, and I dont think it will disappoint.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e7/3d/default-avatar-2020-55.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r748338784-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,scaffolder1888,"Stunning views,loved it!!",50,29-Feb-20,"I am a bit of a view's from heights nerd so for me this opportunity was not to be missed,from the first time i saw this building on a night time journey in from the airport it was a must do for me and i was pleased to find out that there was a viewing platform.For me the fee of getting up here was more than worth it and the views all around are amazing,the skyline of Singapore and the views out across the city as well as the hundreds of container ships out in the bay are memories i will never forget.",https://media-cdn.tripadvisor.com/media/photo-l/1b/70/04/ed/caption.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r748298371-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,thebeg7,Starry Nights,50,29-Feb-20,Looking for somewhere to go for the best night views then this is the place to be. It wasnt overly costly and we managed to get some great views as well as pictures and my 4 year old son enjoyed it too. It was overcrowded and you had loads of space and time to take it all in. I would highly recommend visiting here.,https://media-cdn.tripadvisor.com/media/photo-l/17/05/57/21/caption.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r748130182-Sands_Skypark_Observation_Deck-Singapore.html
Sands Skypark Observation Deck,ScullyTriston11,Beautiful,50,26-Feb-20,Great experience and perfect view of Singapore's skyline. Definitely a must visit when coming to Singapore.,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e2/e6/default-avatar-2020-45.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r747722815-Sands_Skypark_Observation_Deck-Singapore.html
