attractionName,reviewerName,reviewTitle,ratings,reviewDate,reviewText,reviewerProfilePicURL,reviewURL
Singapore Botanic Gardens,Nam Hung T,Beautiful garden right in the heart of the city,50,22-Mar-21,"Beautiful garden with lots of different types of trees and plants. Flowers are everywhere, and it's great to see the park goers start coming back. It brings back a sense of normalcy, or life before Covid. Orchid Garden is amazing. Thousands of orchids in full bloom. Plus the restaurants there serve decent food, so you can spend the whole day there without worrying about anything at all.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e2/81/default-avatar-2020-43.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d310900-r784992718-Singapore_Botanic_Gardens-Singapore.html
Singapore Botanic Gardens,MeiLengL,My Favourite Park in Singapore (UNESCO Site),50,20-Mar-21,"Botanical Garden is my favourite park in Singapore. I often come here to walk. It is big, well maintained, beautiful and a green santuary in the middle of city.The garden is always buzzed with actiivities during weekend.Although i visit the garden countless times over the years, i always find a new path & it has never stop to amaze me.Please visit if you have not been.RegardsML LEONGSingapore",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/ee/68/default-avatar-2020-9.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d310900-r784888222-Singapore_Botanic_Gardens-Singapore.html
Singapore Botanic Gardens,KYHENG,UNESCO site,50,8-Mar-21,One of the best gardens I have ever been to. Lots of paths leading to gardens with different themes. There's a big lake here and an amphitheater where concerts are sometimes held.,https://media-cdn.tripadvisor.com/media/photo-l/1c/c4/8b/75/kyheng.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d310900-r784138521-Singapore_Botanic_Gardens-Singapore.html
Singapore Botanic Gardens,Philip C,Good place but stay away from those pretending to exercise with no mask on,40,16-Feb-21,"Very good place to walk, take pictures and appreciate nature.There are just too many people walking around with no mask on under the pretext of exercise.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/77/ae/default-avatar-2020-2.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d310900-r782929204-Singapore_Botanic_Gardens-Singapore.html
Singapore Botanic Gardens,SPSurat,Green city in the midst of the city,50,28-Jan-21,"This UNESCO Heritage site is definitely worth visiting. Situated in the center, not far from the famous Orchard Road by a walk, or easily accesible from bukit timah road (next to Botanic Garden mrt), its refreshing to walk in the gardensIf you are a nature lover, you can walk the various trails incl Learning Forest. Experience the fly-by from various soecies of birds and butterflies. Walk around the calm waters of Eco-lake or visit the National Orcid Garden.You can stop by the restaurants/cafes for a relaxing drink or meal to end your time at the garden",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f1/79/default-avatar-2020-21.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d310900-r781867544-Singapore_Botanic_Gardens-Singapore.html
Singapore Botanic Gardens,fiorellarea,The kids playground is a must,50,25-Jan-21,"I love bringing my kids (2 under 4 years of age) to visit the Botanic Gardens. They love searching for the chickens and roosters that inhabit the area. As well for the kids park , so many things to do with slides, sand pit , water plays area (this is not open yet), and my oldest favourite the flower/plants area (she loves the shy plant).",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f1/06/default-avatar-2020-18.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d310900-r781718981-Singapore_Botanic_Gardens-Singapore.html
Singapore Botanic Gardens,KathiTravelTheWorld,Best walks with Babies,50,5-Jan-21,I love the garden and go there for regular walks to get out of the city. Its quietness is perfect for a stroll with a Baby or Toddler. Just be aware of mosquitoes around waters. Mostly the trees offer shade but there are paths with a lot of sun so bring protection!,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/ee/db/default-avatar-2020-10.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d310900-r780569589-Singapore_Botanic_Gardens-Singapore.html
Singapore Botanic Gardens,Choowai,Great greenery,40,4-Jan-21,"Our first run and breakfast together in 2021, under wet and cool conditions.At 21 deg C in Singapore, it is so much easier and relaxing to chill in bed and snooze . Nonetheless, must try to remain disciplined and motivated.I have never seen this Cluny food hall in Botanic Gardens so empty before. Everyone was likely still hibernating before the first week of 2021 commences.Happy 2021 ahead.#choowai2021 #wongchoowai #wongchoowairuns #clunyfoodhall #botanicalgardens #botanicgardensingapore #run #running #newyear2021 #newyear #breakfastideas #botanicgardens",https://media-cdn.tripadvisor.com/media/photo-l/1b/9d/c3/8e/avatar.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d310900-r780518317-Singapore_Botanic_Gardens-Singapore.html
Singapore Botanic Gardens,kim buay p,An educational walk,50,31-Dec-20,"Despite my repeated visits, I am always in wow of new flowers that bloomed and learning the names of some trees out of the many.I was pleased to see the renovated toilet facilities which occupy the Burkill Hall Outhouse. It is user-friendly towards mothers with children and babies.The orchids are flowering in the Orchid Gardens which is free to enter.One of the trees around the Swan Lake has an apt name ""fairy petticoats"" as the flowers look like it. Beside the common red stem fig, I saw the Dinner Plate Fig as the leaves are like the size of dinner plates.Despite walking past the Ginger garden many times, this time I noticed that the wall mural outside the Halia restaurant shows all the different species of the Ginger family.At the Learning Forest near to the toilets are some flowering Ashoka trees with its gorgeous bright flowers. After the wooden bridge, I also noticed the RISING Tree which was planted by PM Lee Hsien Loong and the President of the Republic of Indonesia, His Excellency Joko Widodo.",https://media-cdn.tripadvisor.com/media/photo-l/18/09/5a/5c/kim025singapore.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d310900-r780263634-Singapore_Botanic_Gardens-Singapore.html
Singapore Botanic Gardens,Lau288,Scary Hltler-eque bouncer ruins visit,20,31-Dec-20,"Energised by an excellent Hertage tour delivered most competently by a very experienced guide, I decided to spend more time at SBG by heading to the Orchid section. and was abruptly halted by a Hitler-esque , bouncer like individual who demanded yet another check in . I m totally surprised as I had already done the necessary earlier with all details given and even have a sticker to announce tht official entry logistics has been done . Strange and illogical that the orchid garden ,sited clearly within the SBG behaves as it if its NOT part of the Garden .. There is no entrnce fee , so the staff at this entrance are clearly extranous and really shd be deployed elsewhere. The brutish bouncer character would be most suited for entrances where outside contractors need to be processed before they enter high security areas . Sadly , it has been only a year since the former director who had hailed fr Kew Gardens has retired and the grace and charm of some of the gardens personnel have already deteriorated .",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e9/60/default-avatar-2020-64.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d310900-r780218590-Singapore_Botanic_Gardens-Singapore.html
