attractionName,reviewerName,reviewTitle,ratings,reviewDate,reviewText,reviewerProfilePicURL,reviewURL
Singapore Cable Car,MrsSiew,Breathing taking Views,50,20-Mar-21,"Our Cable Car Ride to and fro Mount Faber Sentosa was an enjoyable one. Blessed with good weather, we could enjoy beautiful, breath taking views. Our family of 4, enjoyed tremendously. Highly recommend and do remember to get souvenirs!!",https://media-cdn.tripadvisor.com/media/photo-l/1b/e6/88/f6/mrssiew.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d315470-r784872184-Singapore_Cable_Car-Singapore.html
Singapore Cable Car,fiorellarea,My kids favourite thing to do on weekends,50,25-Jan-21,"Young family with 2 kids, love that we can put the stroller inside the car. The kids love looking down , so much fun we got the year membership.I am impressed with the safety and costumer service of the cable cars.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f1/06/default-avatar-2020-18.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d315470-r781718711-Singapore_Cable_Car-Singapore.html
Singapore Cable Car,MaxImumoccupancy120,Singapore Cable Car,50,9-Oct-20,"Nice and scenic ride . Came during non peak period , so no queue , which is great . Took both the Mt Faber and Sentosa Lines and both views were great .",https://media-cdn.tripadvisor.com/media/photo-l/1b/58/84/ac/resort29292504653.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d315470-r773660009-Singapore_Cable_Car-Singapore.html
Singapore Cable Car,01aditya,Ariel View of Sentoa Island from The Cable car (Singapore),50,11-Aug-20,"I have traveled to many places till now however this was my solo trip to Singapore. I went to Sentosa Island by the Singapore cable car. This was a wonderful experience. You can see the whole Sentosa Island from the Top, especially Universal Studios (one of the attractions of Sentosa Island). I just love the ride. It is of around 5-7 minutes ride but it's amazing. I would highly recommend the visit once at least. Whenever you get a chance to visit Singapore you must visit there.",https://media-cdn.tripadvisor.com/media/photo-l/1b/bd/0e/f8/01aditya.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d315470-r764183439-Singapore_Cable_Car-Singapore.html
Singapore Cable Car,pasanshalu,Excellent expeience,50,21-Jul-20,"Amazing life time experience, It was the first time traveling in a cable car and it came out to be a enjoyable ride.",https://media-cdn.tripadvisor.com/media/photo-l/1b/80/88/c2/pasanshalu.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d315470-r760864608-Singapore_Cable_Car-Singapore.html
Singapore Cable Car,619jeffry,Something for all the family,50,13-Jun-20,"It's often difficult to find something in Singpore that children will enjoy, but the Cable Car will please the whole family. The cable car runs from Mount Faber to Sentosa Island, you get a good view of the Keppel Harbour. The gondolas take in the Mount Faber Line and the Sentosa Line. I have done this trip sevreal times, it's fun..",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f2/b8/default-avatar-2020-26.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d315470-r757313859-Singapore_Cable_Car-Singapore.html
Singapore Cable Car,rohansirsi,Great Experience,50,13-Jun-20,The cable car experience was really great. We could see the city from the top and view of Sentosa island upon nearing Imbiah lookout.,https://media-cdn.tripadvisor.com/media/photo-l/1b/5a/dc/05/rohansirsi.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d315470-r757311642-Singapore_Cable_Car-Singapore.html
Singapore Cable Car,KJJ1901,Throughly enjoyable,50,9-May-20,"We had to get a taxi to the top of Mount Faber to the cable car station, it was a little busy but in hardly any time we had purchased our tickets and ascended to the platform to hop aboard.My partner is GREAT with heights so had a bit of a panic when aboard the car. It was very entertaining to watch and we laugh about it now but if you or anyone you're travelling with has a fear of heights I would give these a miss.The journey was smooth and we got spectacular views of the harbour and a completely different view to the city.At the half way point some more people got onto our car but there was plenty of room and it didn't feel intrusive.In total it lasted about 10-15 minutes from the starting point of Mount Faber to our destination of Sentosa Island",https://media-cdn.tripadvisor.com/media/photo-l/1b/50/1f/c6/kjj1901.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d315470-r753382530-Singapore_Cable_Car-Singapore.html
Singapore Cable Car,Grover R,Sometimes the Best attraction is enjoying the ride,50,10-Apr-20,"For our last day, I had planned to visit Sentosa. While there are a couple of way to get there the best is the cable car. It is easy to get to using the subway, you simply take a short walk way that connects the buildings. However, don't forget to take a full ride and go to Mt. Faber as well. While both Sentosa and Mt. Faber are great attractions on their own but taking the cable car is a great attraction as well. One way you get great views of the Southern Ridges of Singapore. The other way you have an amazing view of Sentosa and the open water. Both ways you get an incredible look at the cruise port and downtown Singapore.",https://media-cdn.tripadvisor.com/media/photo-l/18/c0/f9/55/grover-r.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d315470-r752442888-Singapore_Cable_Car-Singapore.html
Singapore Cable Car,Adam C,Awesome,50,29-Mar-20,This was a great experience and because you can ride it over and over you can arrange for it to provide a sunset experience traveling between the farthest points. Well worth the added cost to include Faber park.,https://media-cdn.tripadvisor.com/media/photo-l/0a/27/f2/96/aclary.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d315470-r751980765-Singapore_Cable_Car-Singapore.html
Singapore Cable Car,MarkJ4061,Group trip with friends,50,22-Mar-20,Great day doing this to Sentosa Island to go to aquarium and then return trip to Mt Faber for lunch. Fantastic views from the cable car and highly recommend this trip.,https://media-cdn.tripadvisor.com/media/photo-l/06/17/37/0e/mark-j.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d315470-r751599522-Singapore_Cable_Car-Singapore.html
Singapore Cable Car,AllyandCharlie,Enjoyable trip,50,10-Mar-20,I recommend especially if you have just a little time in Singapore. Was nice to see the city this way.,https://media-cdn.tripadvisor.com/media/photo-l/1b/20/0a/cc/allyandcharlie.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d315470-r750161059-Singapore_Cable_Car-Singapore.html
Singapore Cable Car,BP-Savoir-faire,One of the must do activity,50,6-Mar-20,"A ride across to Santosa island via the cable car helps put every thing in perspective. You are able to take some amazing aerial photos. It's not expensive and well worth it and when on the island also do the island cable 3 as well.The days went were very quiet (coronavirus) effect. No ques and no waiting, absolutely wonderful. The Singapore govt as very informative and proactive in reassurance of their actions to counter any instances of infection. We spent 14 days in Singapore three of us 52, 65, 80 and we did every attraction and point of interest recommended and at all times we felt safe from any possible infection.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/ef/73/default-avatar-2020-13.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d315470-r749370611-Singapore_Cable_Car-Singapore.html
