attractionName,reviewerName,reviewTitle,ratings,reviewDate,reviewText,reviewerProfilePicURL,reviewURL
Singapore Flyer,ahhjojo,Flyers Dinner,50,12-Mar-21,"Great experience and value for money considering the great view, good food and excellent services provided!Only downside is the time, 2 rounds of flyers is an hour for 4 course meal. 2 course per round, 1st round was sufficient but second round is a bit too tight for the main course and dessert. Not everyone eats that fast though and ended up rushing through the meal.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e5/2b/default-avatar-2020-52.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r784385649-Singapore_Flyer-Singapore.html
Singapore Flyer,goncalves,Quite great for evening ride,50,3-Jan-21,"Wished the weather could have been better, didnt wait for long and had a pleasant ride. Souvenir shops have quite a wide range of items too for everyone.",https://media-cdn.tripadvisor.com/media/photo-l/0c/59/e0/f3/goncalves.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r780431849-Singapore_Flyer-Singapore.html
Singapore Flyer,Patrick B,Cool Views of City,50,9-Dec-20,One of the most enjoyable activities in the city. Best to take a good camera as you can get photos of areas you cannot normally photograph well. Overall good and would recommend.,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f1/42/default-avatar-2020-20.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r778827174-Singapore_Flyer-Singapore.html
Singapore Flyer,aa5hii,Great View up the Singapore Flyer,50,5-Dec-20,"This will be the 3rd time I am taking Singapore Flyer. But the view still takes my breath away.Seriously speaking, if you are visiting Singapore, please2x make sure you take this ride as well. The highest point at 165m, you get to see our city area and residential areas.It is a breathtaking 30minute ride. I would recommend that you take it in the day first as the view is awesome but if u only have a choice of the evening ride, it is more romantic - u can see our city simply lights up!I share with you photos I had taken.",https://media-cdn.tripadvisor.com/media/photo-l/1c/45/91/7b/avatar.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r778495571-Singapore_Flyer-Singapore.html
Singapore Flyer,exedra536,dont miss to visit,50,15-Nov-20,"Breathtaking and amazing views of Singapore, must go on the flyer. Worth it.. It revolves very slowly, so good for anyone.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f4/d0/default-avatar-2020-33.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r777188480-Singapore_Flyer-Singapore.html
Singapore Flyer,AsiaMorgan,A great time for a whirl,50,19-Oct-20,"After living in Singapore for several years and doing most tourist attractions two to three or more time, my ten-year-old daughter and I finally tried the Singapore Flyer. Well, it's just blissful at the moment - a bit sad but blissful. The pandemic has reduced crowds significantly at such tourist attractions so while I wish them better times ahead, but for now I enjoy the tranquility they offer. This is your usual slow moving mega Ferris wheel but wow, the views and the opportunity to experience an entire 'pod' with just your family. Memorable and a real treat. We loved it - just wished they would have let us go around twice.",https://media-cdn.tripadvisor.com/media/photo-l/05/a6/68/4d/asiamorgan.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r774881770-Singapore_Flyer-Singapore.html
Singapore Flyer,Distant_Traveller11,Great view,50,24-Sep-20,"Well it's better than what it used to be, third time and less crowd during the weekday. But you don't feel the one hour",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f6/0d/default-avatar-2020-34.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r771680068-Singapore_Flyer-Singapore.html
Singapore Flyer,CarlaMargaret,Wonderful if you like the hight,50,13-Sep-20,"This is certainly a must if you visit Singapore, don't miss this unique experience. You should plan some few hours for this attraction.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e8/5b/default-avatar-2020-61.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r770118871-Singapore_Flyer-Singapore.html
Singapore Flyer,imthecraziestdude,wonderful time - day - dinning experience with an epic view!,50,11-Sep-20,It is a very popular attraction with a plenty of options! You can do a ride or dine in! I like it both! Its a very beautiful place with the marina bay view!Amazing view during evenings!Food is delicious and staff are very friendly!Cheers!,https://media-cdn.tripadvisor.com/media/photo-l/1b/f2/66/fc/imthecraziestdude.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r769833983-Singapore_Flyer-Singapore.html
Singapore Flyer,RazzorLeaf,Really Worthy!,50,28-Aug-20,Pretty nice views and wonderful experience. You may observe Marina Bay and Singapore from different angles. I like ferries wheels and this one will be one of my best ferries wheels' memories.,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e4/a9/default-avatar-2020-50.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r767436297-Singapore_Flyer-Singapore.html
Singapore Flyer,insta_foodjournallll,Singapore EYE!,50,22-Jun-20,You have to book your seats.. and You must Visit This flyer..There is Restaurant after the entrance on level 1Singapore eye shows you the whole city from a Eagle View.You can see the roads the infrastructure the waterbodies by just standing in the glass cubical.Its TOTALLY CLEAR GLASS .. there are seats to sit but nobody prefers to sit as such..,https://media-cdn.tripadvisor.com/media/photo-l/1b/70/43/cd/insta-foodjournallll.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r757938319-Singapore_Flyer-Singapore.html
Singapore Flyer,rohansirsi,Good Experience,50,13-Jun-20,We both enjoyed the Flyer for 30 minutes ride. The places visible were beautiful around at night. We can see the city and harbor from different angles. This place is worth a visit.,https://media-cdn.tripadvisor.com/media/photo-l/1b/5a/dc/05/rohansirsi.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r757308500-Singapore_Flyer-Singapore.html
Singapore Flyer,T-Wisley,I love it! Amazing!,50,18-May-20,"Really amazing experience, you are like in the top of the highest peack in Singapore.I love it to try it and try it again.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/de/0a/default-avatar-2020-35.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r753607380-Singapore_Flyer-Singapore.html
Singapore Flyer,rysnicole,Amazing Experience,50,29-Apr-20,"This was an amazing experience, it provides a great perspective on the city of it's size and the buildings. I would highly recommend the experience.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e9/60/default-avatar-2020-64.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r753006003-Singapore_Flyer-Singapore.html
Singapore Flyer,MikeSyiaMen,Fly me to the Top,50,25-Apr-20,"Once in a lifetime experience. if you are afraid of heights will please do try, but once you inside . Hmm The best ever!",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/df/99/default-avatar-2020-40.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r752906539-Singapore_Flyer-Singapore.html
Singapore Flyer,timothy0931,Perfect!!!,50,25-Mar-20,Best place ever! Singapore was awesome place.... I will come again together with my family next time. Peaceful place...,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f3/e4/default-avatar-2020-30.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r751786806-Singapore_Flyer-Singapore.html
Singapore Flyer,Robert S,Amazing Views,50,16-Mar-20,The Singapore Flyer offers amazing views of MBS and the Marina Square precinct. Perfect family activity as you spin slowly. Lots of laughs - especially at Mum's expenses as her fear of heights kicks in,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/ee/68/default-avatar-2020-9.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r751055396-Singapore_Flyer-Singapore.html
Singapore Flyer,ianyean,Great City View,50,14-Mar-20,Great of the City. Very nice night view of the city. Got the VIP cabin package with Singapore Sling served while enjoying the scenery.,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f2/59/default-avatar-2020-24.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r750833266-Singapore_Flyer-Singapore.html
Singapore Flyer,Dream692620,To have the breath taking views of Singapore,50,7-Mar-20,"To have the breath taking views of Singapore, one must go on the flyer. Worth every penny spent. It revolves very slowly, so even kids or elders won't be scared at all. Best time to visit is evening.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f4/20/default-avatar-2020-31.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r749623460-Singapore_Flyer-Singapore.html
Singapore Flyer,AlokK546,Singapore Flyer is London Eye of Singapore,50,3-Mar-20,Its just like the very famous London Eye. Very affordable but global experience. The city vie is panoramic. Better to visit in night time. The shopping arcade attached is also worth visiting. Dont forget to take your photo clicked but its bit costly.,https://media-cdn.tripadvisor.com/media/photo-l/1b/07/66/57/alokk546.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r748884262-Singapore_Flyer-Singapore.html
Singapore Flyer,fannyokt,Explore Singapore through flyer,50,27-Feb-20,"Trust me, it looks prettier when you saw it with your own eyes. Singapore city is beautiful, highly recommend if you try it with night view",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e9/bb/default-avatar-2020-65.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r747849515-Singapore_Flyer-Singapore.html
Singapore Flyer,Stephanddanieltravel,who doesn't love a ferris wheel,50,17-Feb-20,Whether you want to ride it or just look at it from a distance (does make the city skyline interesting) you get to see a lot from the wheel and it is a nice place to chill out in an air con glass pod.,https://media-cdn.tripadvisor.com/media/photo-l/1a/bd/58/72/caption.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r745622664-Singapore_Flyer-Singapore.html
Singapore Flyer,Pietra C,on top of the world,50,13-Feb-20,"This was awesome. The view is amazing, breath taking and well worth doing. You can see 360 degree views of Singapore including Merlion Park and Singapore River, Great photo opportunity of city.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e9/bb/default-avatar-2020-65.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r744804143-Singapore_Flyer-Singapore.html
Singapore Flyer,arsenalf2018,Amazing View from the Top,50,11-Feb-20,"2nd highest in the world after the one in US, excellent view from the top of the entire city . Worth the visit .",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e2/a7/default-avatar-2020-44.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r744215718-Singapore_Flyer-Singapore.html
Singapore Flyer,Sightseer15102759184,Great.,50,2-Feb-20,"Cheap, clean, smart, efficient facilities and driverless trains covering most of the city. Compare and contrast the London Underground.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f2/7a/default-avatar-2020-25.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r742471704-Singapore_Flyer-Singapore.html
Singapore Flyer,Dawn S,LOVE IT,50,31-Jan-20,I have been lucky enough to visit a few Flyers in the World and the Singapore one is magnificent and the best I have ever been on - go in the evening when it is getting dark as the views of the city are amazing and the Marina Bay Sands and Gardens are next door so you can see these all lit up. This is by far better than the London Eye which is world famous and you have a lot of room to walk around and take photos. I am not a great lover of heights but this did not bother me at all. As is everything in Singapore this attraction is very well organised and you have little time to wait. There is a visitors centre nearby with local food and drinks for visitors to try out before or after.,https://media-cdn.tripadvisor.com/media/photo-l/0e/c8/d5/74/dawn-s.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r742141527-Singapore_Flyer-Singapore.html
Singapore Flyer,RusBus,Great views,50,24-Jan-20,"We took a ride on the flyer and were not disappointed. The views of the city are amazing. It wasn't particularly busy when we visited and so we had no wait, and an entire 'pod' to ourselves. It was a great way to orient ourselves on the first day in Singapore.",https://media-cdn.tripadvisor.com/media/photo-l/07/52/fa/66/facebook-avatar.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r740863157-Singapore_Flyer-Singapore.html
Singapore Flyer,beachyogalife,Beautiful sightseeing spot light up night,50,19-Jan-20,It is just so beautiful.Check the light show which occurs mar lion side and opposite site( marina bay sands side)Highly recommended,https://media-cdn.tripadvisor.com/media/photo-l/1a/d6/29/c6/caption.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r739996751-Singapore_Flyer-Singapore.html
Singapore Flyer,Keone K,Couples vacation,50,19-Jan-20,The Lion was interesting and a lot bigger than it looked when you get up close. It was easy to get to and there were a lot of local school kids there. It seems to be an important icon to the people of Singapore.,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f1/79/default-avatar-2020-21.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r739889920-Singapore_Flyer-Singapore.html
Singapore Flyer,AdaMF3535,Champagne version worth the $$,50,14-Jan-20,"Although we had our doubts about the VIP edition for the Singapore Flyer, we enjoyed the experience hugely. There was very little waiting to board the big wheel, and the champagne not only eased any anxiety over the height and duration, but also heightened the exhilaration over the sights. It was also nice to be able to sit down whenever we wanted and to have more space to move about. Our group of four shared a capsule with only a group of two (with a bottle of good champagne for each group). Visitors should schedule their visit for sunset if possible.",https://media-cdn.tripadvisor.com/media/photo-l/0f/67/ac/d8/ada-m-f.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r739013291-Singapore_Flyer-Singapore.html
Singapore Flyer,Jim K,Awesome view of the city,50,13-Jan-20,What an experience! Worth the time and money spent. You get to see the whole city. Felt safe at all times. Best time to do this is late afternoon / early evening as the lights change the city to a spectacle!,https://media-cdn.tripadvisor.com/media/photo-l/1a/52/8a/80/jim-k.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r738803026-Singapore_Flyer-Singapore.html
Singapore Flyer,577adac,Nice scenery,50,11-Jan-20,Visited the Singapore flyer a few times because it is always beautiful to view the scenery from the flyer. It takes you 30 mins to finish the entire ride and go during evening or before sunset is the most.,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e2/a7/default-avatar-2020-44.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r738379531-Singapore_Flyer-Singapore.html
Singapore Flyer,davelin_singapore,Great Experience!,50,8-Jan-20,"My friend from the US stayed in the Hotel Ritz Carlton which is very close to the spot. The cabin is very spacious and feel comfortable! You can see the 360 degree full view of the bay area which is amazing! Great experience for travelers even for me as a local Singapore! The ticket is worth the price. When I go, not many people maybe it is weekdays. Waiting time is just few minutes. It was afternoon time and the sunshine was a bit strong. Maybe the evening time would be even better with nicer view. Staff is friendly and direction is very clear. The staff was very kind and willing to hold camera and take photos for us. Great training and service attitude. The place is kids friendly if you kids are ok with the height. Will come again with my guests from other country!",https://media-cdn.tripadvisor.com/media/photo-l/1a/89/60/15/davelin-singapore.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r737699191-Singapore_Flyer-Singapore.html
Singapore Flyer,Rads88,Quiet and peaceful with stunning views of Singapore,50,6-Jan-20,"We've lived in Singapore for over 7 years now but we visited the flyer only in 2019 when guests came. Though we already know what an architectural marvel Singapore is, the panoramic views from the flyer make this ride worth it. We timed it to go up at twilight and come down after dark. It is quiet and peaceful as compared to views from other places and Singapore looks stunning in the night lights.My only wish is that it was a tad longer at 45 minutes.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/ee/68/default-avatar-2020-9.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r737176330-Singapore_Flyer-Singapore.html
Singapore Flyer,Bi103,Fantastic view,50,31-Dec-19,We enjoyed a fantastic view from the flyer as well as the wide window panes and low moving paste. There was no queue after sunset and everything went smooth.,https://media-cdn.tripadvisor.com/media/photo-l/0e/b4/c4/75/avatar.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r735683275-Singapore_Flyer-Singapore.html
