attractionName,reviewerName,reviewTitle,ratings,reviewDate,reviewText,reviewerProfilePicURL,reviewURL
Singapore Zoo,HerrSuman,Amazing Zoo,50,8-Mar-21,"I love this place because of the way animals are kept, they look healthy and relatively happier than any other zoo I have seen, allowing them to live is relatively closer to their native living place and not like a cageMust visit place in Singapore",https://media-cdn.tripadvisor.com/media/photo-l/07/d6/c8/e3/herrsuman.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324542-r784151723-Singapore_Zoo-Singapore.html
Singapore Zoo,KYHENG,Best zoo I have ever been,50,8-Mar-21,"Haven't been here for years and after visiting several zoos around the region, must say that this is the best zoo I have even been to.The absence of cage and well designed moat around most enclosures allows us with unobstructed view of the animals in their natural habitat, albeit man made. The animals looked comfortable and well fed.The grouping of the enclosure and the pathway leading to them make for a joyful trip of discovering. The wordings are just sufficient to introduce the important points about the animals.Staff are helpful and happy. A great 3 hours trip.In terms of refreshment, lots of drink vending machine can be found with small food kiosk and a food court. Oh, there's also a KFC at the end of the zoo before you turned back and head to the entrance/exit.",https://media-cdn.tripadvisor.com/media/photo-l/1c/c4/8b/75/kyheng.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324542-r784149024-Singapore_Zoo-Singapore.html
Singapore Zoo,Rhiannon H,Beautiful!,50,27-Feb-21,"A beautifully kept zoo! The range of animals was fantastic! It sets itself apart from other zoos with the free roaming animals, orangutans overhead and experience exhibits. The zoo also seemed to do a lot for conservation and there was lots of cool interactive features.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/ec/a2/default-avatar-2020-3.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324542-r783641929-Singapore_Zoo-Singapore.html
Singapore Zoo,Blackmentos94,Really the best!,50,19-Feb-21,"Singapore Zoo is really a gem. Can't say how proud I am to have such a world class zoo in our city.Love how educational our zoo is and the amazing variety of animals we have here.Easy to get around, I think it's worth a visit just for fun if you haven't been to the zoo for ages like myself.Keep it up Singapore zoo team!",https://media-cdn.tripadvisor.com/media/photo-l/12/cf/08/31/blackmentos94.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324542-r783158199-Singapore_Zoo-Singapore.html
Singapore Zoo,tromboon1220,Fun and Convenient,50,14-Feb-21,"It was rather exciting and a very personalised private tour! Really big thanks to our wildlife experience guide Neetha and Gen :) Had a request for mandarin speaking guide and they really they tried their best to explain to us in Chinese haha. They were also able to make an advance booking for us for animal presentation and allow us to go in without any booking in advance made by ourselves. Fuss free!They were also really patience despite having my dad not being able to catch up and corporate at times. However, the private buggy tour were really fun ! Will definitely come back for more.Personally I would recommend coming in the morning slot (930am) as you would get more time to walk around and taking a look at the zoo. Also, a properly planned itinerary will also make the tour a lot more fun as well.Overall, I felt that my 2nd day of outing to zoo was well spent!",https://media-cdn.tripadvisor.com/media/photo-l/05/97/94/4e/bibb223.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324542-r782808538-Singapore_Zoo-Singapore.html
Singapore Zoo,Kelly0831,Truly a Wildlife Experience!,50,13-Feb-21,"Used our SRV (rediscovery voucher) and was so glad we did that. Having been to massive zoos in China, I think WRS is truly a WILDLIFE zoo. Great diversity of nature and the beauty of all kinds of wildlife. Also a very enriching & knowledge-filled place , allowing us to appreciate nature at her best. Thanks for reminding us that size of the animals is not the only yardstick of beauty !My husband did however noticed that we were pretty far from the animals , he would loved if we are closer. Also an itinerary of performance time slots at the e-ticket email or a flyer at the entrance area would be handy. We didn't get to watch any performance while we were there, I was too tired to google for the time slots.",https://media-cdn.tripadvisor.com/media/photo-l/03/f4/88/74/kelly0831.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324542-r782782660-Singapore_Zoo-Singapore.html
Singapore Zoo,Nandthinin,Nostalgia,50,2-Feb-21,Such nostalgia. Came here ever since i was a little girl. Would always come here again no regrets. :),https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e7/99/default-avatar-2020-57.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324542-r782175182-Singapore_Zoo-Singapore.html
Singapore Zoo,Hasnah1962,World's best zoo!,50,20-Jan-21,"Singapore Zoo is listed as one of the world's best zoo not for nothing. It has all the traditional zoo animals like elephants, tigers, lions, monkeys, and crocodiles, but it also has many unique and endangered animals like the alligator shaped turtle and the babirusas, also called deer-pigs. It is in the swine family found in Sulawesi, Togian, Sula and Buru. Singapore zoo is also home for giraffes, zebras, warthogs, rhinos, lions, cheetahs and many others. There is also play and activity area for young kids to have fun.",https://media-cdn.tripadvisor.com/media/photo-l/05/b2/5f/88/hasnah1962.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324542-r781464301-Singapore_Zoo-Singapore.html
Singapore Zoo,William C,A Heartwarming experience only at Singapore Zoo,50,19-Jan-21,"It was indeed very heartwarming to visit Singapore zoo especially with their conservation programs ensuring the protection of some endangered species of which they house 34% of it. Built in 1973 and set on a 26 hectares land in a natural open rain forest environment in Mandai Lake. It has over a million visitors annually and houses more than 30 species of animals. If you would like to relax, take some good photos and videos, escape from the hustle and bustle of the big city and most of all contribute to the conservation and rehabilitation of threatened species then have some time to visit SG zoo. If you book online tickets are cheaper than walk in. Also, if you will avail their annual membership you will get discounts and privileges. The zoo is part of the trip of parks called Wildlife Reserves Singapore together with Jurong Bird Park and the Night Safari. The zoo is pretty big so if you wanna spare walking then you can take a tram for a quick drive by tour of the zoo's different areas. The zoo is divided into 11 zones namely Australasia, Elephants of Asia, Fragile forest, Great rift valley of Ethiopia, Primate kingdom, Reptile Garden, Wild Africa, Treetops trail to name some of those I've visited. In addition they have numerous shows and activities. As you enter the zoo you might get overwhelmed but my tip is to just follow the flow and to help you can download their Digital Map guide. You could go right and you'll pass by the African Penguins which is currently closed which will lead you straight to Ah Meng Restaurant or go left via the Tree top trail and will lead you to the Rainforest. Either way will give you access to different zones in the zoo. I personally walked my way to different zones and took my approximately 3 hours. Be mindful with the Show timings and audience since there is crowd control measures during the pandemic. Facemasks are also required whilst you are in the zoo. I loved everything - how they designed the zoo in an open natural environment which is really remarkable. A lot of animals are securely placed in their zones, moats were provided to some and they have ample space. Some you could even interact with like the Fragile forest where you could be up close to the Flying Fox, Birds, Butterflies, and Deers. My favorite attractions are the Bengal White Tiger, Elephants of Asia, Hamadryas Baboon, Nubian Ibex, Animals in the Fragile Forest, Giraffe, Orangutans, the Otters, Pygmy Hippopotamus, Grey Kangaroo and the funny cute Meerkats who are always on the lookout. The Bengal white tigers (2 of them) are housed in a huge open space mini forest enclosure with water filled moat. They showcased elegance, strength, confidence and beauty especially with their furs in white and black stripes. Elephants of Asia showcases Asian Elephants all five of them female coming from Sri Lanka and Sumatra to name a few. They have a very earthy enclosure and I loved to see when their being fed. Despite their huge sizes they eat slowly with the help of their trunks before gently chewing the grass. The Baboons and Ibex are placed in the Great Rift Valley. It was designed like a rock mountain cliff similar to the environment where they live in Ethiopia plus an Amazing waterfalls. It's surprising to to see this mix of 2 species side by side showing no conflicts. The Baboons of course are very proud and confident as always especially displaying their pink faces, fluffy grey furs and huge fangs. The Ibex on the other have no problem maneuvering the slippery rocks even with those long sharp horns. The Grey Kangaroos too where such a lovely animals. Their enclosure have huge space for them to leap, feed and interact with each other. I really felt I was in Australia. When I reached Wild Africa it was already sunset. And it was such a scenic scene specially with the Giraffes. 2 of them while standing against the sunset is such an epic scene. I took a couple of photos and it was marvelous. Just across the Giraffes there is a small Earth mound with small pocket holes. And inside these holes lives the Meerkats, cute little stripped Mongoose from Southern Africa. I could see 2 of them watching the skies for predators which is really really natural. I took a photo of one peeking his head from one of the holes. Finally, the Orangutans from Sumatra or the Great Apes with their striking red orange furs are housed in a magnificent enclosure with trees, vines and resting places. Here the family could be seen interacting, resting, feeding, sleeping and gently swinging way up on the vines and trees. Native to Malaysia and Indonesia, Orangutans are critically endangered species but glad that Singapore Zoo is here to ensure the survival of this species. You can have a 360 degree view of them as you walk your way on the platform just outside their enclosure. As I walked along my way in the zoo I couldn't help but noticed that it is very clean, well managed, follows the social distancing guidelines, and very informative. There are plenty of toilets, drinking fountains, and vending machines for food/snacks. Ah Meng Restaurant also provides a lot of food options, coffee and snacks. I finished my day arriving at their souvenir shop just on time before they close at 6 and I bought a small shirt for my nephew. Outside the entrance there are plenty of food shops and KFC, which I had my lunch. If you wanted to visit the River and Night Safari they are just right outside the zoo and the latter open at 630 PM. Getting here I took the Mandai Khatib Shuttle but there are many ways to get here. It was indeed another heartwarming experience to visit SG zoo and each visit I take has its own story, witnessing how these lovely Animals live like in their natural environment. One of the best zoos in the world!!! I couldn't wait to come back again :=)",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e2/81/default-avatar-2020-43.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324542-r781365692-Singapore_Zoo-Singapore.html
Singapore Zoo,Lawrence S,Amazing Zoo,50,12-Jan-21,"It has been many years since I last visited, but my recent visit has made a huge impression. It has only got better with time. This is a world class zoo comparable to the best. Take a relaxed stroll to savour every corner. Definitely worth an entire day. I would not recommend riding on the tram, unless you are in a real hurry.",https://media-cdn.tripadvisor.com/media/photo-l/19/07/ec/0b/lawrence-s.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324542-r781003850-Singapore_Zoo-Singapore.html
