attractionName,reviewerName,reviewTitle,ratings,reviewDate,reviewText,reviewerProfilePicURL,reviewURL
Supertree Grove,Crios59,Lovely music and lights,50,4-Mar-21,An amazing sound system that transports you to different places while you admire the multicoloured lights that dance in front of your eyes. Worth visiting,https://media-cdn.tripadvisor.com/media/photo-l/19/0e/ae/91/crios59.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d8634325-r783934337-Supertree_Grove-Singapore.html
Supertree Grove,Chelsea B,Amazing,50,3-Feb-21,"Whilst all the conservatories require a ticket for entry the supertree grove is free to enter and these vertical gardens are just incredible to see. What's one of the most amazing things about these supertrees are they aren't just there to look pretty but have some pretty impressive environmental features too. They collect solar energy, so they can use their own electricity and also collect rainwater, which can be used to keep the gardens watered. They also have an air filtration system within them that vents hot air and can be used to cool down the conservatories. How very clever!",https://media-cdn.tripadvisor.com/media/photo-l/1c/4d/f5/28/chelsea-b.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d8634325-r782191000-Supertree_Grove-Singapore.html
Supertree Grove,russypooh,Garden Rhapsody Show,50,29-Jan-21,"The Garden Rhapsody Show is back at the Supertree Grove, Gardens by the Bay.Waltz your evening away at the Supertree Grove and let the music and lights transport you to a mythical enchanted forest.",https://media-cdn.tripadvisor.com/media/photo-l/15/4d/9a/97/caption.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d8634325-r781930028-Supertree_Grove-Singapore.html
Supertree Grove,exedra536,Great,50,15-Nov-20,Enjoyable during the day really fun with the light and sound performance. we did the skywalk which gave a great view and picts,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f4/d0/default-avatar-2020-33.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d8634325-r777188610-Supertree_Grove-Singapore.html
Supertree Grove,Grover R,Surreal and impressive,50,12-Oct-20,"This is another amazing feature to Gardens by the Bay. However, it was my 3rd favorite part behind the two domes. Still you do not want to miss this. This are basically man made towers the act like trees in the garden and come alive at night with lights. You will see Supertrees in many parts of the part but the concentration in the grove is the most impressive part. You simply have to see them come alive at night, neither the pictures or words can really describe. This is simply a must see activity when you are in Singapore.We did not have a change to do the walk way; however the grove is simply enough of an experience to walk through. The other good part is it is perfectly position for pictures with the Sands hotel. Do not miss this while you are in Singapore.",https://media-cdn.tripadvisor.com/media/photo-l/18/c0/f9/55/grover-r.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d8634325-r773945023-Supertree_Grove-Singapore.html
Supertree Grove,Maelle M,Magical Place,50,11-Oct-20,We visit at least once a month to see the change in light show (changes monthly). The place is magical and beautiful lit. Walking around the gardens during the evening and then being enchanted by the lightshow and music is really wonderful each and every single time.,https://media-cdn.tripadvisor.com/media/photo-l/1b/0c/e4/a1/caption.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d8634325-r773838976-Supertree_Grove-Singapore.html
Supertree Grove,kim buay p,Outstanding supertrees in a park,50,30-Sep-20,There are 15 supertrees in the Garden By the Bay. I enjoyed admiring the supertrees from different part of the hugh park. The night experience here is a must as the trees are lighted up.,https://media-cdn.tripadvisor.com/media/photo-l/18/09/5a/5c/kim025singapore.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d8634325-r772449932-Supertree_Grove-Singapore.html
Supertree Grove,imthecraziestdude,romantic! spacious! instagramable! a lot of people and amenities!,50,18-Sep-20,pretty during the day and even more at night! You can reach it from marina bay sands tower 2 or via MRT bayfront - just turn right and go straight!I m always coming back to that place since i like long walks and night ambience!ITs free and always going!cheers,https://media-cdn.tripadvisor.com/media/photo-l/1b/f2/66/fc/imthecraziestdude.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d8634325-r770818655-Supertree_Grove-Singapore.html
Supertree Grove,344terrif,So glad I saw it,50,2-Aug-20,"An absolutely amazing place, in the day time it's quite beautiful but at night 'wow' I thought it was quite mesmerising. Lots of places to sit with a picnic and it's all for free unless you want to walk up higher",https://media-cdn.tripadvisor.com/media/photo-l/1b/b8/95/cd/344terrif.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d8634325-r762677129-Supertree_Grove-Singapore.html
Supertree Grove,rohansirsi,Beautiful Place,50,28-Jun-20,Located inside Gardens by the Bay. After visiting nearby places we spent evening here watching Supertree illumination show.,https://media-cdn.tripadvisor.com/media/photo-l/1b/5a/dc/05/rohansirsi.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d8634325-r758364043-Supertree_Grove-Singapore.html
Supertree Grove,211elisp,ItÂ´s free!!!!!,50,18-Jun-20,"Was around there the whole day and the light show in the evening was simply just awesome. I highly reccomend that you go see it if you have the time. If you donÂ´t have the time, make time",https://media-cdn.tripadvisor.com/media/photo-l/06/9f/aa/d6/elis-p.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d8634325-r757609134-Supertree_Grove-Singapore.html
Supertree Grove,Aslam_Sherif,Stunning,50,22-May-20,One of the best sight seeing spots in Singapore. The light show here is so magical. The artificial trees and the natural plants surrounding it is really a sight. When the light show is on it feels like you are on different planet. You can visit during the day and night time. This is must visit if you are in Singapore.,https://media-cdn.tripadvisor.com/media/photo-l/14/7e/2d/65/aslam-sherif.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d8634325-r755312584-Supertree_Grove-Singapore.html
Supertree Grove,KJJ1901,Unlike anything you've ever seen.,50,9-May-20,"Super tree Grove is unlike anything you've ever seen. You can not go to Singapore and miss out on them!I'd definitely say to see them twice, once during the day to take in the magnificent beauty of the structure and ingenuity of the planting and once at night, to the them lit up in all of their solar powered glory at the spectacular light show!Not to be missed! Allow an hour at each viewing!",https://media-cdn.tripadvisor.com/media/photo-l/1b/50/1f/c6/kjj1901.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d8634325-r753382218-Supertree_Grove-Singapore.html
Supertree Grove,T-Wisley,Amazing Tree light show,50,1-May-20,"Supertree Grove it's nice to try if you dont afraid of heights, the light show was amazing to watch and my blowing.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/de/0a/default-avatar-2020-35.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d8634325-r753061666-Supertree_Grove-Singapore.html
Supertree Grove,zebragorda,Great light show,50,27-Apr-20,We enjoyed the evening light show with all of its music. This is a notable sight that should not be missed.,https://media-cdn.tripadvisor.com/media/photo-l/06/d0/e0/ff/joseph-s.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d8634325-r752940368-Supertree_Grove-Singapore.html
Supertree Grove,MikeSyiaMen,Amazing Place,50,25-Apr-20,I always be here every December ( Christmast month ) because a lot of lightings and display to see . Visitors place to be . Stunning!,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/df/99/default-avatar-2020-40.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d8634325-r752906571-Supertree_Grove-Singapore.html
Supertree Grove,JPA-2009-SEA,Emotive,50,21-Apr-20,The tree grove looks lovely during the day but at night it really comes alive. The trees light up in time to the music and is very cleverly done. It is also very moving emotionally. Its really something you have to experience for yourself to truly understand how good it is.,https://media-cdn.tripadvisor.com/media/photo-l/08/2b/df/c8/jpa-2009-sea.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d8634325-r752803548-Supertree_Grove-Singapore.html
Supertree Grove,Spurssssssss,Excellent,50,13-Apr-20,It's great when you see that show at night.But there are some people sleeping there . I really enjoy it. I want to come back to the Supertree Grove many times later.,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e8/5b/default-avatar-2020-61.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d8634325-r752562260-Supertree_Grove-Singapore.html
Supertree Grove,Andrew C,Stunning!,50,13-Apr-20,"We went at dusk as the 'trees' lit up. At 7:45 the 15 minute sound and light show started, 'a night at the opera' which was magnificent, atmospheric and deeply moving. One of the best things I have ever done. We grabbed something to eat at the hawker Centre and waited for the 8:45 show we enjoyed it so much.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e2/11/default-avatar-2020-41.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d8634325-r752540788-Supertree_Grove-Singapore.html
Supertree Grove,shresthanjann,Great super trees,50,13-Apr-20,There are around 5 supertrees here. Entry is free. Light and sound shows in the evening is a must watch.,https://media-cdn.tripadvisor.com/media/photo-l/17/3d/33/09/shresthanjann.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d8634325-r752539818-Supertree_Grove-Singapore.html
Supertree Grove,Gregsopinion,AMAZING LIGHT SHOW,50,12-Apr-20,When you go to The Gardens by The Bay the light show is a must ..start at 21:00 and is remarkable....music and light show whats not to like,https://media-cdn.tripadvisor.com/media/photo-l/04/73/49/63/gregsopinion.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d8634325-r752506087-Supertree_Grove-Singapore.html
